B00007EDLW,[-0.4767],[1],"[[disappoint, item, work]]","[[disappoint item work, -0.4767, 1]]"
B007PEWEIU,"[0.4215, 0.4404]","[5, 5]","[[order, son, need, cause, work, thanks], [nice]]","[[order son need cause work thanks, 0.4215, 5], [nice, 0.4404, 5]]"
B0088V2PEM,[-0.4112],[3],"[[quality, isnt, work, case, tends, fall, month]]","[[quality isnt work case tends fall month, -0.4112, 3]]"
B008BR4L9A,"[0.6124, 0.9231]","[1, 5]","[[fit, perfect, cover, great, price], [garbage, thats, word, come, mind, feel, garbage, rubber, surround, feel, garbage, garbage]]","[[fit perfect cover great price, 0.6124, 1], [garbage thats word come mind feel garbage rubber surround feel garbage garbage, 0.9231, 5]]"
B008D9C8E6,[0.0],[1],[[make]],"[[make, 0.0, 1]]"
B008ER17UI,[0.8814],[4],"[[case, day, day, usage, protect, iphone, story, building, rain, dirtsand, slip, pocket, nice, thing, item, people, talk, time, product, buy]]","[[case day day usage protect iphone story building rain dirtsand slip pocket nice thing item people talk time product buy, 0.8814, 4]]"
B008FYFBPC,[0.3818],[5],"[[loud, decent, entry, level]]","[[loud decent entry level, 0.3818, 5]]"
B0091XQ1BY,[0.4215],[4],"[[daughter, like]]","[[daughter like, 0.4215, 4]]"
B00921NCVM,"[-0.2755, 0.5994]","[1, 5]","[[love], [battery, didnt, dont, recommend, product]]","[[love, -0.2755, 1], [battery didnt dont recommend product, 0.5994, 5]]"
B0099YB0GG,"[0.0772, 0.8588, 0.4927]","[5, 4, 5]","[[seems, decent, phone, case, thick, seem, protect, phone, drop, time, damage, phone], [awesome, ive, drop, obscene, height, multiple, time, doesnt, crack]]","[[seems decent phone case thick seem protect phone drop time damage phone, 0.0772, 5], [awesome ive drop obscene height multiple time doesnt crack, 0.8588, 4], [, 0.4927, 5]]"
B009JT8IIO,"[-0.3818, -0.296, 0.0, -0.3182, 0.6369]","[1, 1, 5, 2, 5]","[[want], [come, damage, didnt, get, chance, use], [piece, crap, decoration], [peel, lose, glitter]]","[[want, -0.3818, 1], [come damage didnt get chance use, -0.296, 1], [piece crap decoration, 0.0, 5], [peel lose glitter, -0.3182, 2], [, 0.6369, 5]]"
B009M5L6AM,"[0.9118, 0.0, 0.0]","[5, 4, 4]","[[say], [fit, snug, phone, doesnt, make], [excellent, quality, fast, chip, picturevery, happy, ]]","[[say, 0.9118, 5], [fit snug phone doesnt make, 0.0, 4], [excellent quality fast chip picturevery happy , 0.0, 4]]"
B009OZWQRM,"[0.4754, -0.3195]","[5, 1]","[[nice], [week, screen, start, lose, color, line]]","[[nice, 0.4754, 5], [week screen start lose color line, -0.3195, 1]]"
B00A6OVFNQ,[0.7906],[5],"[[product, thanks]]","[[product thanks, 0.7906, 5]]"
B00AF2RH1S,[0.2498],[4],"[[im, please, case, protects, ipod, button, work, clip, great, kind, loose, use, awhile, ive, figure, clip, order]]","[[im please case protects ipod button work clip great kind loose use awhile ive figure clip order, 0.2498, 4]]"
B00AYXXNK2,[0.5719],[5],"[[excellent, service, product]]","[[excellent service product, 0.5719, 5]]"
B00BGNDWTQ,[0.3064],[5],"[[enjoy, case, order, case, ask, deliver, weekend]]","[[enjoy case order case ask deliver weekend, 0.3064, 5]]"
B00BLG5DA4,[0.836],[5],"[[excellent, case, love]]","[[excellent case love, 0.836, 5]]"
B00BTK6XBK,[-0.5423],[1],[[quality]],"[[quality, -0.5423, 1]]"
B00BW3FUOK,"[0.4404, 0.0]","[5, 2]","[[work, couple, week, short], [stuff]]","[[work couple week short, 0.4404, 5], [stuff, 0.0, 2]]"
B00D0BDUKI,[0.2014],[4],"[[cool, button, fall]]","[[cool button fall, 0.2014, 4]]"
B00DRA334K,[-0.5423],[1],"[[fact, destroy, phone, rain]]","[[fact destroy phone rain, -0.5423, 1]]"
B00E9LFGFK,[0.5719],[4],"[[protection, kid, budget]]","[[protection kid budget, 0.5719, 4]]"
B00EDRY38G,[0.6705],[3],"[[need, help, cant, get, time, set, unite, state, cant, get, gps, work]]","[[need help cant get time set unite state cant get gps work, 0.6705, 3]]"
B00F3N63DW,[0.6808],[3],"[[nice, case, like, opt, otterbox]]","[[nice case like opt otterbox, 0.6808, 3]]"
B00F8D80OC,"[0.6249, 0.2732, 0.6249, 0.0]","[5, 4, 5, 5]","[[work, serve, purpose], [deecribed, item], [suppose, work, run]]","[[work serve purpose, 0.6249, 5], [deecribed item, 0.2732, 4], [suppose work run, 0.6249, 5], [, 0.0, 5]]"
B00FAU9SLM,[-0.3476],[3],"[[fine, money, protection, use, couple, day, didnt, fit, side, button]]","[[fine money protection use couple day didnt fit side button, -0.3476, 3]]"
B00FDUZBBU,[0.9652],[5],"[[perfection, case, look, picture, super, safe, recommend]]","[[perfection case look picture super safe recommend, 0.9652, 5]]"
B00FR795WA,"[0.0, 0.8519, 0.3612, 0.5846, 0.0, 0.8481, 0.7234, 0.734, -0.2519, 0.8834, 0.5423, 0.6249, 0.8625, 0.6249, 0.4215, 0.875, 0.6369, 0.9274, 0.6369, 0.6115, 0.4144, 0.5695, 0.6597, 0.802, 0.0, -0.4102, -0.6124, 0.8845]","[5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[[describe, thank], [hub, come, package, set, cord, plug, port, charge, super, convenientbr, recommend], [excellent, device, macbooks, imac, osx, hang, restart, mbp, reboot, osx, yeah, work, watt, joke, device, plug, use, port, thing, chew, watt, get, need, put, fan, close], [usb, hub, terrific, wirecutter, steer, product, data, transfer, seems, plenty, limit, need, abundance, usb, port, college, student, macbook, pro, need, plug, wall, laptop, work, box, product, word, caution, plug, usb, dongle, logitech, wireless, mouse, hub, mouse, begin, jump, screen, signal, cut, interference, whole, slew, device, plug, transfer, data, logitech, dongle, plug, wireless, mouse, oncomputer, usb, port, otherwise, problem, type], [connecting, disconnect, usb, device, computer, port, work, withbr, look, google, usb, hab, show, device, purchase, work, drive, connectwd, time, magic, device, love, thank], [expect, get, amount, port, speed, cable, fit, port, dont, rock], [excellent, usb, port, design, sit, desk, dive, desk, plug, unplug, cable, system], [product, great, price, work], [usb, work, provide, plenty, extra, port, use, drive, etc, power, port, change, wall, charger], [product, work], [product, work, variety, printer, need, wireless, mouse], [hub, say], [excellent, quality, doesnt, disconnect, usb, hub, recommend], [research, usb, hub, turn, claim], [usb, hub, sleek, perfect, issue, hook, smart, power, port, charge, device, usb, fast], [hub, month, plug, play, problem, die, point, go, device, company, terrific, trade, email, customer, support, replacement, device, show, day, cant, beat], [nice, hub, like, power, port], [advertise], [fine, product, transaction], [ever], [investment, ive, device, go, hub, plugunplug, device, day, keep, usb, cable, plug, unit, connect, whatever, device, need, charge, use, computer, way, worry, single, usb, plug, connects, macbook, probr, br, simplify, lifebr, br, change, thing, bit, heavier, doesnt, slide], [hub, want, use, backup, drive, case, usb, slot, cabinet, convenient, get, reason, want, instead, connecting, came, order, appear, price, turn, need, fault, ask, question, wait], [nice, product], [work, fine, issue, charge, device, drop, usb, hub], [advertise], [work, power, mean, run, usb, drive, problem], [awesome, hub, support, drive, device, limitation, specifies, drive, hot, swap, drive, power, usb, port, tablet, phone, thing, require, usb, port, say, thing, came, char, tablet, phone, time, remove, device, nightbr, p, able, connect, device, us, ghz, wireless, communication, plug, adapter, work, use, usb, port, utilize, hub, bluetooth, adapter], [using]]","[[describe thank, 0.0, 5], [hub come package set cord plug port charge super convenientbr recommend, 0.8519, 5], [excellent device macbooks imac osx hang restart mbp reboot osx yeah work watt joke device plug use port thing chew watt get need put fan close, 0.3612, 5], [usb hub terrific wirecutter steer product data transfer seems plenty limit need abundance usb port college student macbook pro need plug wall laptop work box product word caution plug usb dongle logitech wireless mouse hub mouse begin jump screen signal cut interference whole slew device plug transfer data logitech dongle plug wireless mouse oncomputer usb port otherwise problem type, 0.5846, 5], [connecting disconnect usb device computer port work withbr look google usb hab show device purchase work drive connectwd time magic device love thank, 0.0, 4], [expect get amount port speed cable fit port dont rock, 0.8481, 5], [excellent usb port design sit desk dive desk plug unplug cable system, 0.7234, 5], [product great price work, 0.734, 5], [usb work provide plenty extra port use drive etc power port change wall charger, -0.2519, 5], [product work, 0.8834, 5], [product work variety printer need wireless mouse, 0.5423, 5], [hub say, 0.6249, 5], [excellent quality doesnt disconnect usb hub recommend, 0.8625, 3], [research usb hub turn claim, 0.6249, 5], [usb hub sleek perfect issue hook smart power port charge device usb fast, 0.4215, 5], [hub month plug play problem die point go device company terrific trade email customer support replacement device show day cant beat, 0.875, 5], [nice hub like power port, 0.6369, 5], [advertise, 0.9274, 4], [fine product transaction, 0.6369, 5], [ever, 0.6115, 5], [investment ive device go hub plugunplug device day keep usb cable plug unit connect whatever device need charge use computer way worry single usb plug connects macbook probr br simplify lifebr br change thing bit heavier doesnt slide, 0.4144, 5], [hub want use backup drive case usb slot cabinet convenient get reason want instead connecting came order appear price turn need fault ask question wait, 0.5695, 5], [nice product, 0.6597, 5], [work fine issue charge device drop usb hub, 0.802, 5], [advertise, 0.0, 5], [work power mean run usb drive problem, -0.4102, 5], [awesome hub support drive device limitation specifies drive hot swap drive power usb port tablet phone thing require usb port say thing came char tablet phone time remove device nightbr p able connect device us ghz wireless communication plug adapter work use usb port utilize hub bluetooth adapter, -0.6124, 5], [using, 0.8845, 5]]"
B00GGOT2F8,[-0.4585],[4],"[[buy, receive, satisfy, phone]]","[[buy receive satisfy phone, -0.4585, 4]]"
B00GGXOA88,[0.0],[4],[[work]],"[[work, 0.0, 4]]"
B00GWH2TH2,[-0.2023],[1],"[[customer, service, crappy, phone, screen, unresponsive, freeze]]","[[customer service crappy phone screen unresponsive freeze, -0.2023, 1]]"
B00H4DYRUA,[0.8338],[3],"[[item, come, came, rubber, layer, unbonded, round, corner, find, tear, retail, package, piece, return, hole, lightning, connecter, size, apple, genuine, lightningusb, apples, hdmi, adapter, great, addition, tripod, hole]]","[[item come came rubber layer unbonded round corner find tear retail package piece return hole lightning connecter size apple genuine lightningusb apples hdmi adapter great addition tripod hole, 0.8338, 3]]"
B00H8AFU50,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00H8AGGWG,[0.4902],[5],"[[rugged, product]]","[[rugged product, 0.4902, 5]]"
B00H8BOA6E,[0.4404],[4],[[quality]],"[[quality, 0.4404, 4]]"
B00HH7MEEE,[0.6369],[5],[[handy]],"[[handy, 0.6369, 5]]"
B00HPQ0U7A,[0.9564],[5],"[[omg, know, side, pocket, kindle, cell, phone, start, get, power, charge, problem, say, use, twice, recharge, phone, kindle, need, recharge, unit, tell, people, show, use, store, thank, awesome, item, great, price, arrive, time, use, time, continue, soway, road]]","[[omg know side pocket kindle cell phone start get power charge problem say use twice recharge phone kindle need recharge unit tell people show use store thank awesome item great price arrive time use time continue soway road, 0.9564, 5]]"
B00HWEK39K,"[-0.1531, 0.8555, 0.6249, 0.1531]","[1, 5, 3, 2]","[[receive, phone, shape, day, screen, turn, inspection, crack, inside, portion, top, screen, try, reboot, phone, avail], [phone, market, series, come, samsung, android, phone, transfer, data, picture, computer, ubs, drive], [ok, phone, shuts, alot], [buy, phone, use, ok, hiccup, brand, give, phone]]","[[receive phone shape day screen turn inspection crack inside portion top screen try reboot phone avail, -0.1531, 1], [phone market series come samsung android phone transfer data picture computer ubs drive, 0.8555, 5], [ok phone shuts alot, 0.6249, 3], [buy phone use ok hiccup brand give phone, 0.1531, 2]]"
B00HZRGIFC,[0.8438],[4],"[[didnt, background, screen, crease, dont, come, use, cloth, material, sheet, everything]]","[[didnt background screen crease dont come use cloth material sheet everything, 0.8438, 4]]"
B00I2E4YEE,[0.8689],[5],"[[amount, pen, reviewer, say, office, problem, pen, grow, leg, walk, give, intern, office, sign, book, need, pen, scramble, something, write]]","[[amount pen reviewer say office problem pen grow leg walk give intern office sign book need pen scramble something write, 0.8689, 5]]"
B00IDCPMN2,[0.2538],[3],"[[shield, favorite, tendency, come, edge, cause, dust, collect, corner, leave, phone, stand, corner, sony, phone, glass, scratch, job, part, short, time, put, case, way, touch, corner, end, become, magnet, corner]]","[[shield favorite tendency come edge cause dust collect corner leave phone stand corner sony phone glass scratch job part short time put case way touch corner end become magnet corner, 0.2538, 3]]"
B00IXGXS7A,"[0.796, -0.3071, 0.068]","[5, 3, 2]","[[kinda, think, youd, hear, music, use, phone, call], [satisfy, item, fast, delivery, ease, purchase, recommend], [let, start, fact, get, wouldnt, get, stereo, sound, understood, go, expect, advance, audio, profile, adp, doesnt, hsp, wont, allow, listen, music, phone, use, make, phone, call, thats, didnt, test, car, dont, use, headset, talk, phone, im, car, test, playing, music, phone, doesnt, work, connect, laptop, bluetooth, play, music, hsp, sound, quality, get, lot, youll, lose, connectivity, walk, foot, purchase, thought, unit, chinese, website, price, take, week, adp, profile, sound, quality, great, work, phone, laptop, want, home, office, didnt, want, wait, week, get, order, dont, think, amazon, let, put, someone, el, website, item, sku, mtb, find, attach, picture, show, purchase, website, leave, purchase, amazon, returning, cost, amount, shipping, pay]]","[[kinda think youd hear music use phone call, 0.796, 5], [satisfy item fast delivery ease purchase recommend, -0.3071, 3], [let start fact get wouldnt get stereo sound understood go expect advance audio profile adp doesnt hsp wont allow listen music phone use make phone call thats didnt test car dont use headset talk phone im car test playing music phone doesnt work connect laptop bluetooth play music hsp sound quality get lot youll lose connectivity walk foot purchase thought unit chinese website price take week adp profile sound quality great work phone laptop want home office didnt want wait week get order dont think amazon let put someone el website item sku mtb find attach picture show purchase website leave purchase amazon returning cost amount shipping pay, 0.068, 2]]"
B00IYEANTW,"[0.0, 0.0]","[1, 5]","[[doesnt, work], []]","[[doesnt work, 0.0, 1], [, 0.0, 5]]"
B00IZWTX26,"[0.6249, 0.3818]","[5, 1]","[[inside, peel, bought, store, last, year, well, shape, peice, junkall, card, license, stick, glue, inside, buy, ]]","[[inside peel bought store last year well shape peice junkall card license stick glue inside buy , 0.6249, 5], [, 0.3818, 1]]"
B00J3B1XPI,[0.2732],[3],[[work]],"[[work, 0.2732, 3]]"
B00J3YF92S,[0.0346],[2],"[[button, phone, wont, allow, screenshot, ]]","[[button phone wont allow screenshot , 0.0346, 2]]"
B00J9OUZ0S,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
B00JBJ3JAE,"[0.3716, 0.9274, 0.5647, 0.5719, 0.0]","[3, 5, 5, 5, 5]","[[think, use, phone], [option, good, expect, grey, grey, light, brown], [thank, help], [watch, take, get, use, woman, watch, take, call, watch, see, who, texting, get, notification, want, keep, battery, life, turn, autowake, feature, push, button, see, time, preference, lot, comment, watch, people, ask, watch, tell, better, ], [love, love, cant, say, grest, thing]]","[[think use phone, 0.3716, 3], [option good expect grey grey light brown, 0.9274, 5], [thank help, 0.5647, 5], [watch take get use woman watch take call watch see who texting get notification want keep battery life turn autowake feature push button see time preference lot comment watch people ask watch tell better , 0.5719, 5], [love love cant say grest thing, 0.0, 5]]"
B00JL9AY02,[0.3612],[3],"[[problem, connects, disconnect, alot]]","[[problem connects disconnect alot, 0.3612, 3]]"
B00JQWLCQE,[-0.6854],[2],"[[product, cool, theory, broke, purchase, work, stand, bc, part, keep, broke]]","[[product cool theory broke purchase work stand bc part keep broke, -0.6854, 2]]"
B00JUEDZ3Q,"[-0.3412, 0.0, -0.5423]","[1, 1, 1]","[[ate, black, one], [doesnt, work]]","[[ate black one, -0.3412, 1], [doesnt work, 0.0, 1], [, -0.5423, 1]]"
B00JVPDI6I,[0.8074],[4],"[[buy, good, charger, come]]","[[buy good charger come, 0.8074, 4]]"
B00JXDYEK2,[0.228],[1],"[[work, cost, send, came, instruction, purchase, work, rate, zero, bummer, buy, trip, find, place, plug, device]]","[[work cost send came instruction purchase work rate zero bummer buy trip find place plug device, 0.228, 1]]"
B00JYKG6A0,[0.6486],[5],"[[nice, fit]]","[[nice fit, 0.6486, 5]]"
B00K5NSXB0,[0.0516],[5],"[[etech, collection, acl, anti, glare, arrive, time, state, thank]]","[[etech collection acl anti glare arrive time state thank, 0.0516, 5]]"
B00KA6Z07W,"[-0.2263, 0.8689]","[5, 4]","[[buy, phone, phone, case, fit, smooth, hand, reason, didnt, give, star, casing, crack, drop, floor], [job, problem, whatsoever, cover, need, someone, phone, glad, find, line]]","[[buy phone phone case fit smooth hand reason didnt give star casing crack drop floor, -0.2263, 5], [job problem whatsoever cover need someone phone glad find line, 0.8689, 4]]"
B00KHXT7PO,[0.5949],[5],"[[neat, make]]","[[neat make, 0.5949, 5]]"
B00KNR2Z9O,[0.6908],[2],"[[morning, need, validate, track, number, purchase, year]]","[[morning need validate track number purchase year, 0.6908, 2]]"
B00KQU8URY,[0.807],[5],"[[button, easy, use, cover, love, different, cover, try, cut, button, perfect, happy, phone, fallen, scratch, problem]]","[[button easy use cover love different cover try cut button perfect happy phone fallen scratch problem, 0.807, 5]]"
B00KTIQGAQ,[-0.6486],[2],"[[arrive, break, restitution]]","[[arrive break restitution, -0.6486, 2]]"
B00KVLA7WE,[0.6249],[5],"[[ship, product, descriped]]","[[ship product descriped, 0.6249, 5]]"
B00KY3ZYUE,[0.7717],[5],"[[inside, material, better, others, use]]","[[inside material better others use, 0.7717, 5]]"
B00L16BOFW,[-0.2755],[1],"[[fit, inch, smartphone, inch, smartphone]]","[[fit inch smartphone inch smartphone, -0.2755, 1]]"
B00LTACV48,[0.7264],[5],"[[work, surface, make, write, experience]]","[[work surface make write experience, 0.7264, 5]]"
B00LXL6PKE,[0.7778],[5],"[[glad, buy, quality, micro, home, cord, fit, use, play, playbook, tv]]","[[glad buy quality micro home cord fit use play playbook tv, 0.7778, 5]]"
B00M9TBTDM,"[0.9851, 0.8462, 0.8885, 0.6426]","[3, 5, 5, 5]","[[ship, excellent, packaging, simple, easy, use, love, galaxy, edge, use, spigen, case, charge, ease, wireless, range, good, come, usb, cord, charge, pad, slim, compact, ive, read, people, complain, placement, different, charger, place, phone, charge, didnt, expect, alot, price, couldnt, happier, charge, found, phone, take, charge, less, hour, lead, let, know, charge, phone, beep, start, stop, order, amazon, review, pay, price], [buy, galaxy, lg, g, work, phone, charge, indicator, help, phone, make, charge, sound, plug, anyways, beat, price, recommend], [compact, charge, plate, device, job, fine, wonder, nokia, plate, use, device, phone, phone, charge, coil, plate, challenge, get, charge, work, fine, device, describe, end, phone, hang, plate, present, challenge, get, alignment, use, tiny, phone, iphone, size, iphones, dont, offer, wireless, charge, youll, fine, thing, consider, caveat, weakness, lead, lead, bright, buy, put, side, table, something, guest, use, dont, plan, watch, movie, dark, room, d, color, nice, marker, work, tape, wont, know, phone, align, apologize, quality], [didnt, know, got, habit, drop, phone, charger, start, like, itbr, br, set, phone, sometime, waferbr, br, seems, charge, charge, longer]]","[[ship excellent packaging simple easy use love galaxy edge use spigen case charge ease wireless range good come usb cord charge pad slim compact ive read people complain placement different charger place phone charge didnt expect alot price couldnt happier charge found phone take charge less hour lead let know charge phone beep start stop order amazon review pay price, 0.9851, 3], [buy galaxy lg g work phone charge indicator help phone make charge sound plug anyways beat price recommend, 0.8462, 5], [compact charge plate device job fine wonder nokia plate use device phone phone charge coil plate challenge get charge work fine device describe end phone hang plate present challenge get alignment use tiny phone iphone size iphones dont offer wireless charge youll fine thing consider caveat weakness lead lead bright buy put side table something guest use dont plan watch movie dark room d color nice marker work tape wont know phone align apologize quality, 0.8885, 5], [didnt know got habit drop phone charger start like itbr br set phone sometime waferbr br seems charge charge longer, 0.6426, 5]]"
B00MA4SJEI,"[0.0, 0.902, 0.0]","[5, 5, 5]","[[build, work, time, far, use, electronics], [port, fit, car, lighter, space], [work, fast, option, match, expectationsbr, great, finish, productbr, recommend]]","[[build work time far use electronics, 0.0, 5], [port fit car lighter space, 0.902, 5], [work fast option match expectationsbr great finish productbr recommend, 0.0, 5]]"
B00MFPJ31K,[-0.6007],[3],"[[rearview, mirror, kinda, curvy, stand, mount, doesnt, fit, strap, fixate, mount, mirror, keep, open, lock, system, besides, samsung, note, bit, heavy, mount, keep, bounce, fall, ill, use, mount, flaw]]","[[rearview mirror kinda curvy stand mount doesnt fit strap fixate mount mirror keep open lock system besides samsung note bit heavy mount keep bounce fall ill use mount flaw, -0.6007, 3]]"
B00MI8SQH6,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00MNAWM74,"[0.4201, 0.7003, 0.5719, 0.5719, 0.2944, 0.7255, 0.3182, 0.5859, 0.9506, 0.6369, 0.5719, 0.7096, -0.2144, 0.8683, 0.6249, -0.4404, 0.7906, 0.4749, 0.7817, 0.6249, 0.0516, 0.6249, 0.886, 0.6249, 0.5719, 0.7717, 0.1531]","[5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 1, 5, 5, 5, 5, 4, 5, 3, 5, 5, 4, 4]","[[work, great, wish, come, sleeve, put, keep], [go, concert, phone, chargered, use, charger, charge, charger, own, worth, money, wont, disappoint], [purchase, end, purchase, gave, friends, like], [others, try, charge, cell, phone, need, recharge, love, quality, item, buy, month, use, sell, got, kid], [order, arrive, time, work, thanks], [amaze, product], [come, fast, package, galaxy, note, battery, light, red, turn, charger, charge, give, phone, power, charge, phone, tip, battery, icon, give, phone, recommend], [buy, trip, family, summer, vacation, trip, work, run, find, spot, charge, station, wait, board, gate, airport, child, use, errand, forget, plug, device], [perfect], [work, perfect, phone], [charger, love, cord, include, put, purse, love, light, tell, charge, unit, recommend, see, others, dont, feature, sleek, size], [nontablet, phone, dont, require, charge, charge, work, switching, htc, m, charge, emergency], [cool, product], [charger, work, help, battery, life, iphone], [excellent], [work, great], [awesome], [purchase, daughter, happy, ill, get], [excellent, product], [price, holiday, order, gift, hold, charge, perfect, deliver], [deliver, work], [worthless, item, work], [daughter, love, product, complaint, minor, one, get, didnt, lead, flashlight, order, multiple, color, didnt, realize, difference, dislike, charge, charger, thats, phone, battery, consuption], [fit, purse, colorbr, job], [work, great], [buy, wife, love, use, phone, forget, charge]]","[[work great wish come sleeve put keep, 0.4201, 5], [go concert phone chargered use charger charge charger own worth money wont disappoint, 0.7003, 5], [purchase end purchase gave friends like, 0.5719, 5], [others try charge cell phone need recharge love quality item buy month use sell got kid, 0.5719, 5], [order arrive time work thanks, 0.2944, 5], [amaze product, 0.7255, 4], [come fast package galaxy note battery light red turn charger charge give phone power charge phone tip battery icon give phone recommend, 0.3182, 5], [buy trip family summer vacation trip work run find spot charge station wait board gate airport child use errand forget plug device, 0.5859, 5], [perfect, 0.9506, 5], [work perfect phone, 0.6369, 4], [charger love cord include put purse love light tell charge unit recommend see others dont feature sleek size, 0.5719, 5], [nontablet phone dont require charge charge work switching htc m charge emergency, 0.7096, 5], [cool product, -0.2144, 4], [charger work help battery life iphone, 0.8683, 5], [excellent, 0.6249, 5], [work great, -0.4404, 1], [awesome, 0.7906, 5], [purchase daughter happy ill get, 0.4749, 5], [excellent product, 0.7817, 5], [price holiday order gift hold charge perfect deliver, 0.6249, 5], [deliver work, 0.0516, 4], [worthless item work, 0.6249, 5], [daughter love product complaint minor one get didnt lead flashlight order multiple color didnt realize difference dislike charge charger thats phone battery consuption, 0.886, 3], [fit purse colorbr job, 0.6249, 5], [work great, 0.5719, 5], [buy wife love use phone forget charge, 0.7717, 4], [, 0.1531, 4]]"
B00MO6Z3DM,"[0.6249, 0.7466]","[5, 5]","[[case], [lifeproof, fre, case, phone, love, receive, phone, work, cheesy, silicone, case, im, service, industry, silicone, case, wouldnt, week, let, water, splash, grime, didnt, wat, spend, buck, case, phone, isnt, order, cost, alternative, difference, quality, material, compare, lifeproof, case, arrive, test, piece, paper, success, leak, compare, case, phone, difference, quality, isnt, good, real, deal, close, wouldnt, notice, price, cant, beat, case, true, difference, notice, doesnt, logo]]","[[case, 0.6249, 5], [lifeproof fre case phone love receive phone work cheesy silicone case im service industry silicone case wouldnt week let water splash grime didnt wat spend buck case phone isnt order cost alternative difference quality material compare lifeproof case arrive test piece paper success leak compare case phone difference quality isnt good real deal close wouldnt notice price cant beat case true difference notice doesnt logo, 0.7466, 5]]"
