9984576418,[0.0],[2],"[[item, phone]]","[[item phone, 0.0, 2]]"
B00NQGFQ5Y,"[0.7832, 0.8198, 0.2263, 0.7964]","[5, 3, 1, 1]","[[phone, great, love, window, drawback, phone, month, paint, come, offit, lag, im, try, benefit, doubt, laggingthe, paint, chip, downer, thoughis, orange, phone, color], [keep, turn, wont, stay, service, lag, dont], [purchase, phone, son, birthday, description, say, love, phone, well, picture, show, purchase], [amazon, great, job, delivering, item, star, item, fell, expectation, item, hand, think, phone, awesome, style, nice, feature, windows, love, display, great, thing, bug, way, display, duel, sim, card, sim, change, name, anything, want, display, massage, phone, look, message, miss, call, send, text, video, quality, picture, degrade, video, grainy, whats, video, problem, get, gps, disappoint, system, update, gb, storage, left, guess, take, gb, usa, offline, map, phone, reason, put, info, sd, card, go, use, gps, use, data, plan, download, state, trip, main, reason, return, phone, sensitivity, screen, touch, screen, choose, everything, let, scroll, sensitivity, setting, get, online, research, issue, website, tell, download, update, get, worse, reset, problem, amazon, give, everything, need, help, return, order, complete, refund]]","[[phone great love window drawback phone month paint come offit lag im try benefit doubt laggingthe paint chip downer thoughis orange phone color, 0.7832, 5], [keep turn wont stay service lag dont, 0.8198, 3], [purchase phone son birthday description say love phone well picture show purchase, 0.2263, 1], [amazon great job delivering item star item fell expectation item hand think phone awesome style nice feature windows love display great thing bug way display duel sim card sim change name anything want display massage phone look message miss call send text video quality picture degrade video grainy whats video problem get gps disappoint system update gb storage left guess take gb usa offline map phone reason put info sd card go use gps use data plan download state trip main reason return phone sensitivity screen touch screen choose everything let scroll sensitivity setting get online research issue website tell download update get worse reset problem amazon give everything need help return order complete refund, 0.7964, 1]]"
B00NUVWR8Y,[0.0],[1],"[[arrive, crack, middle]]","[[arrive crack middle, 0.0, 1]]"
B00O2Y6DL0,"[0.6249, 0.862]","[5, 4]","[[case, describe, hole, line, phone, rubber, hold, phone, tight, fit, holder, tend, breakcrack, color, describe, im, happy, purchase]]","[[case describe hole line phone rubber hold phone tight fit holder tend breakcrack color describe im happy purchase, 0.6249, 5], [, 0.862, 4]]"
B00O3AE9DW,"[0.765, 0.8934, 0.6897]","[5, 5, 5]","[[say, make, choice, get, case, samsung, note, white, transparent, case, provide, protection, show, color, phone, great, idea, uag, come, transparent, case], [case, hand, downi, went, different, case, buy, uag, casebr, ill, use, case, uagi, use, zagg, glass, screen, protector, add, pretectionbr, case, better, otterboxstop, look, buy], [using, uag, past, phone, ive, offer, protection, emphasize, style, comfort, cant, stand, otterboxes, look, feel, bulky, case, get, pricy, compare, case, try, protect, investment]]","[[say make choice get case samsung note white transparent case provide protection show color phone great idea uag come transparent case, 0.765, 5], [case hand downi went different case buy uag casebr ill use case uagi use zagg glass screen protector add pretectionbr case better otterboxstop look buy, 0.8934, 5], [using uag past phone ive offer protection emphasize style comfort cant stand otterboxes look feel bulky case get pricy compare case try protect investment, 0.6897, 5]]"
B00O7I8YCC,[0.6115],[5],"[[need, find, correct, thread, polisher, happy, purchase]]","[[need find correct thread polisher happy purchase, 0.6115, 5]]"
B00OJNK1B2,"[0.9417, -0.2584, 0.0]","[3, 1, 2]","[[month, premium, think, leather, come, say, productit, fit, note, case, slim, case, fit, thicker, case, remove, put, think, try, hasnt, fallen, part, seem, start], [way, phone, secure], [case, phone, cover, stay, shut]]","[[month premium think leather come say productit fit note case slim case fit thicker case remove put think try hasnt fallen part seem start, 0.9417, 3], [way phone secure, -0.2584, 1], [case phone cover stay shut, 0.0, 2]]"
B00OJTDL54,[0.7906],[5],"[[awesome, product, quality, leather, price]]","[[awesome product quality leather price, 0.7906, 5]]"
B00OS6LQVO,[0.908],[5],"[[nice, product, fit, cover, front, phone, use, case, remove, place, screen, protector, phone, cut, inside, case, remove, doesnt, seem, touchscreen, im, happy, product, buy, need]]","[[nice product fit cover front phone use case remove place screen protector phone cut inside case remove doesnt seem touchscreen im happy product buy need, 0.908, 5]]"
B00OTFS2PM,[0.0],[1],"[[get, enter, pair, mode, turn, enter, standby, mode]]","[[get enter pair mode turn enter standby mode, 0.0, 1]]"
B00OZ45KFM,[0.8225],[5],"[[coustumer, service, take, care, problem, tablet, time, kid, love]]","[[coustumer service take care problem tablet time kid love, 0.8225, 5]]"
B00OZ88A00,[0.1779],[5],"[[son, love, start, get, kickstand]]","[[son love start get kickstand, 0.1779, 5]]"
B00OZA20ZY,[-0.5106],[5],"[[get, case, block, access, memory, card, leave, side]]","[[get case block access memory card leave side, -0.5106, 5]]"
B00OZCUOGY,"[0.5719, 0.2249, 0.9153, 0.4939, 0.4215, -0.7737, 0.0, -0.0129, 0.0, -0.4215, 0.2057, -0.0754, -0.4215, 0.7184, 0.0, 0.765]","[5, 5, 5, 4, 4, 5, 1, 1, 5, 1, 1, 1, 1, 5, 5, 5]","[[didnt, hour, break], [cant, get, love, screen, protector, friend, recommend, year, mad, listen, sooner], [perfect, screen, protector, better, quality, one, pay, cell, phone, store], [home, button, come, scratch, ok], [installbut, day, line, screen, couple, day, protector, kinda, lift, become, detach, fell, tap, screen, need, thump, screen, make, iphone, respond, poor, product, see, return, unhappy, customer], [buy, friend, im, use, cant, review], [last, week, start, crack, didnt, drop], [everything, perfect, bus, measurments, home, button], [], [try, put], [screen, crack, get, replace, trust, product, disappoint], [excelent, cover, aiphone], [product, defective, ibhad, go, buy, mall, dont, buy, product], [excellent, product, sellerbr, perfect, fit, easy], [useless, product], [thank, great, quality, fast, shipping]]","[[didnt hour break, 0.5719, 5], [cant get love screen protector friend recommend year mad listen sooner, 0.2249, 5], [perfect screen protector better quality one pay cell phone store, 0.9153, 5], [home button come scratch ok, 0.4939, 4], [installbut day line screen couple day protector kinda lift become detach fell tap screen need thump screen make iphone respond poor product see return unhappy customer, 0.4215, 4], [buy friend im use cant review, -0.7737, 5], [last week start crack didnt drop, 0.0, 1], [everything perfect bus measurments home button, -0.0129, 1], [, 0.0, 5], [try put, -0.4215, 1], [screen crack get replace trust product disappoint, 0.2057, 1], [excelent cover aiphone, -0.0754, 1], [product defective ibhad go buy mall dont buy product, -0.4215, 1], [excellent product sellerbr perfect fit easy, 0.7184, 5], [useless product, 0.0, 5], [thank great quality fast shipping, 0.765, 5]]"
B00P83B2BK,[0.0],[5],"[[receive, expect]]","[[receive expect, 0.0, 5]]"
B00PBOMAV2,[-0.6249],[1],"[[worst, screen, protector, chip, instal]]","[[worst screen protector chip instal, -0.6249, 1]]"
B00PHL9D8M,[-0.0701],[2],"[[case, work, clip, come, day]]","[[case work clip come day, -0.0701, 2]]"
B00PJBOPR4,[0.7717],[5],"[[case, fit, verizon]]","[[case fit verizon, 0.7717, 5]]"
B00PL4PTEM,[0.0],[4],[[quality]],"[[quality, 0.0, 4]]"
B00PMPFU5I,[0.4754],[5],"[[nice, product]]","[[nice product, 0.4754, 5]]"
B00POA1HFS,[0.4754],[5],"[[job, nice]]","[[job nice, 0.4754, 5]]"
B00PVM0A66,[0.6486],[5],"[[fit, work, look]]","[[fit work look, 0.6486, 5]]"
B00PZQ524I,[0.4404],[5],[[buy]],"[[buy, 0.4404, 5]]"
B00Q2JAE0E,"[0.6705, 0.0572]","[5, 3]","[[dont, leave, phone, change, monthd], [seller, quality, product, good, price]]","[[dont leave phone change monthd, 0.6705, 5], [seller quality product good price, 0.0572, 3]]"
B00Q9ESZHG,"[0.5719, 0.5574]","[5, 5]","[[excellent, protection], [work, feel, rubber, buy]]","[[excellent protection, 0.5719, 5], [work feel rubber buy, 0.5574, 5]]"
B00QA7WUIC,[-0.2755],[1],"[[didnt, fit, model, flip, phone]]","[[didnt fit model flip phone, -0.2755, 1]]"
B00QDDXI16,[0.5927],[5],"[[stay, snug, take, change, battery]]","[[stay snug take change battery, 0.5927, 5]]"
B00QHZBW2C,[0.2235],[5],"[[work, advertisedin, use, month, charge, android, phone, kindle, tablet, incident, complaint]]","[[work advertisedin use month charge android phone kindle tablet incident complaint, 0.2235, 5]]"
B00QJRMC86,"[-0.4767, -0.7065, 0.659, 0.6249, -0.7572, 0.6249, -0.2263, -0.4767]","[1, 3, 5, 4, 1, 5, 4, 3]","[[earbuds, order, pair, stop, work, bud], [poor, workmanship, fall, apart, couple, week], [apple, earbuds], [work, great], [wait, month, ear, phone, get, minutes, break, snap, break, side, keep, pop], [glad, earphone, work, iphone], [sound, quality, reproach, durability, earbuds, take, plug, week, use, start, problem, connection, plug, stop, work, moneybr, nice, get, kind, sound, quality, earbud, tolerate, move, device, didnt, require, use, device, earplug], [music, sound]]","[[earbuds order pair stop work bud, -0.4767, 1], [poor workmanship fall apart couple week, -0.7065, 3], [apple earbuds, 0.659, 5], [work great, 0.6249, 4], [wait month ear phone get minutes break snap break side keep pop, -0.7572, 1], [glad earphone work iphone, 0.6249, 5], [sound quality reproach durability earbuds take plug week use start problem connection plug stop work moneybr nice get kind sound quality earbud tolerate move device didnt require use device earplug, -0.2263, 4], [music sound, -0.4767, 3]]"
B00QMVJL1U,[-0.9723],[1],"[[purchase, phone, replace, moto, gman, mistakethe, memory, awful, quality, phone, worsti, phone, month, drop, get, wet, air, line, run, screenit, start, line, cameraafter, day, line, appearnow, line, run, half, screen, thats, pop, write, reviewi, contact, posh, support, st, line, pop, claim, damage, suggest, send, phone, analyze, determine, damage, mean, pay, send, china, way, go, let, product, buy, posh, anything, againit, come, ton, bloatware, notification, light, usb, top, cant, turn, camera, shutter, sound, battery, life, phone, get, well, battery, processor, junk, facebook, stall, lot, app, wifi, awfuli, step, front, porch, lose, signalmy, moto, g, walk, block, lose, wifi, signal, home, sound, quality, worst, phone, planetthe, front, camera, garbage, tooto, anyone, think, phone, favor, scroll, brand, please, mean, spend, dime, phonesavoid, phone, costdont, buy, child]]","[[purchase phone replace moto gman mistakethe memory awful quality phone worsti phone month drop get wet air line run screenit start line cameraafter day line appearnow line run half screen thats pop write reviewi contact posh support st line pop claim damage suggest send phone analyze determine damage mean pay send china way go let product buy posh anything againit come ton bloatware notification light usb top cant turn camera shutter sound battery life phone get well battery processor junk facebook stall lot app wifi awfuli step front porch lose signalmy moto g walk block lose wifi signal home sound quality worst phone planetthe front camera garbage tooto anyone think phone favor scroll brand please mean spend dime phonesavoid phone costdont buy child, -0.9723, 1]]"
B00QNMBPV2,"[0.1531, 0.0]","[3, 5]","[[screen, protector, buy, everything], [aaa, order]]","[[screen protector buy everything, 0.1531, 3], [aaa order, 0.0, 5]]"
B00QR1YA1G,[0.6697],[4],"[[seem, battery, life, expectancy, battery, come, phone, please, purchase]]","[[seem battery life expectancy battery come phone please purchase, 0.6697, 4]]"
B00QR7OPFQ,"[0.3384, 0.0]","[5, 1]","[[half, work, half, dont, spend, extra, money, get, apple, one], [exceed, expectation, build]]","[[half work half dont spend extra money get apple one, 0.3384, 5], [exceed expectation build, 0.0, 1]]"
B00QU4PHSU,"[0.8847, 0.802, -0.296]","[5, 5, 1]","[[say, remove, film, case, film, remove], [excellent, case, excellent, style, allows, show, phone, plastic, case, doesnt, look, bulky, provide, protection], [slimcase, g, hold, slide, pocket]]","[[say remove film case film remove, 0.8847, 5], [excellent case excellent style allows show phone plastic case doesnt look bulky provide protection, 0.802, 5], [slimcase g hold slide pocket, -0.296, 1]]"
B00QVV7410,"[0.7876, 0.8439]","[5, 5]","[[case, happy, purchase], [case, stylish, keep, phone, protect, scratch, snd, magnet, bery, secure]]","[[case happy purchase, 0.7876, 5], [case stylish keep phone protect scratch snd magnet bery secure, 0.8439, 5]]"
B00QX1MIL4,[0.0],[5],[[gr]],"[[gr, 0.0, 5]]"
B00QXX1SS6,[-0.718],[3],"[[case, look, phone, take, vacation, get, wet, time, phone, fine, tahoe, id, give, rating, charge, port, lightning, charger, apple, include, inconvenient, take, case, time, thats, disappointment]]","[[case look phone take vacation get wet time phone fine tahoe id give rating charge port lightning charger apple include inconvenient take case time thats disappointment, -0.718, 3]]"
B00QXZHH8O,"[-0.3802, 0.0, -0.6614, 0.7472, 0.8591, -0.7098, 0.5613, 0.6249, 0.7178, 0.6249, 0.0, -0.1531, 0.6369]","[1, 5, 1, 5, 5, 1, 5, 4, 5, 5, 2, 4, 5]","[[fit, snug, look, suggest, get, black, case, black, edition, silver, case, white, edition, thats, preference, opinionbr, pro, install, stylish, protection, light, drop, damage, allow, clearance, camera, front, screen, set, tablebr, con, none, experience], [call, scratch, resist, scratch, minute, pocket], [case], [quality, nice], [case, sleek, sturdy], [case, build, havent, drop, idea, perform], [case, amazon, phone, get, worn, year, use, bought, look, think, make, casebr, br, drop, phone, screen, shatter, cost, get, replace, recommend, brand, anyone, case, slim, bulky, look, phone, stock, image, buy], [make, worry, drop, phone, thing, reminds, make, iphone, look, iphone, problem, build, quality, excellent], [ca, slim], [quality, make, cheap, packaging, case, come, crackedbent, recommend], [sleek, stylish], [case, color, match, iphone, ]]","[[fit snug look suggest get black case black edition silver case white edition thats preference opinionbr pro install stylish protection light drop damage allow clearance camera front screen set tablebr con none experience, -0.3802, 1], [call scratch resist scratch minute pocket, 0.0, 5], [case, -0.6614, 1], [quality nice, 0.7472, 5], [case sleek sturdy, 0.8591, 5], [case build havent drop idea perform, -0.7098, 1], [case amazon phone get worn year use bought look think make casebr br drop phone screen shatter cost get replace recommend brand anyone case slim bulky look phone stock image buy, 0.5613, 5], [make worry drop phone thing reminds make iphone look iphone problem build quality excellent, 0.6249, 4], [ca slim, 0.7178, 5], [quality make cheap packaging case come crackedbent recommend, 0.6249, 5], [sleek stylish, 0.0, 2], [case color match iphone , -0.1531, 4], [, 0.6369, 5]]"
B00R3RRESE,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00R6SJRYO,[0.9149],[5],"[[case, droid, turbo, kickstand, work, soft, part, case, grip, nonslip, handbr, br, problem, ive, case, downvolume, button, difficult, press, silicone, recommend, case, try, brand, model]]","[[case droid turbo kickstand work soft part case grip nonslip handbr br problem ive case downvolume button difficult press silicone recommend case try brand model, 0.9149, 5]]"
B00R6WMPY4,[0.667],[1],"[[buy, non, htc, charger, tend, amperage, charging, cord, ft, ft, need, amazon, return, process, worth, return, annoy]]","[[buy non htc charger tend amperage charging cord ft ft need amazon return process worth return annoy, 0.667, 1]]"
B00R7F8GIY,[-0.5106],[1],"[[dumbest, thing, ever, buy, figure, kind, screen, protector, something, round, piece, material, go, lense]]","[[dumbest thing ever buy figure kind screen protector something round piece material go lense, -0.5106, 1]]"
B00RB51DW6,[0.9127],[4],"[[battery, work, note, okay, take, charge, battery, wish, quick, charge, samsung, note, charger, issue, batter, fall, charger, plug, wall, outlet, use, rubber, band, charger, batter, keep, inplace, charge]]","[[battery work note okay take charge battery wish quick charge samsung note charger issue batter fall charger plug wall outlet use rubber band charger batter keep inplace charge, 0.9127, 4]]"
B00RKMLWZ8,[0.8481],[5],"[[product, awesome, price, fit, lot, card, license, insurance, etc, throw, paper, money]]","[[product awesome price fit lot card license insurance etc throw paper money, 0.8481, 5]]"
B00RLGAROU,"[0.6542, 0.7845]","[5, 5]","[[fit, look, nice, smooth, scroll], [kid, cant, destroy, ipads]]","[[fit look nice smooth scroll, 0.6542, 5], [kid cant destroy ipads, 0.7845, 5]]"
B00RV3B6M0,[-0.4215],[1],"[[broke, day, quit, ]]","[[broke day quit , -0.4215, 1]]"
B00RV9AFOE,[0.807],[5],"[[please, wallet, service]]","[[please wallet service, 0.807, 5]]"
B00S0DL4RM,"[0.3291, -0.2617, 0.0, -0.1531, 0.2382, 0.6249, 0.4404, 0.2357, -0.7264, -0.2755, 0.0]","[4, 4, 5, 3, 2, 5, 5, 3, 1, 1, 2]","[[order, one, use, stuff], [broke, week, quality], [quit, work, month], [thanks], [make, price], [awesome], [length, good, didnt, charge, device, half, time, work, doesnt, work, anymore, work], [month, stop, work, get, one], [look, cool, theyre, work, hold, place, get, charge, time, ive, wake, battery], [quit, work, day, use]]","[[order one use stuff, 0.3291, 4], [broke week quality, -0.2617, 4], [quit work month, 0.0, 5], [thanks, -0.1531, 3], [make price, 0.2382, 2], [awesome, 0.6249, 5], [length good didnt charge device half time work doesnt work anymore work, 0.4404, 5], [month stop work get one, 0.2357, 3], [look cool theyre work hold place get charge time ive wake battery, -0.7264, 1], [quit work day use, -0.2755, 1], [, 0.0, 2]]"
B00S4PRZ4M,"[-0.4588, 0.8271]","[3, 5]","[[chain, turn, n, broke, matter], [make, get, lot, compliment, husband, want, onelol]]","[[chain turn n broke matter, -0.4588, 3], [make get lot compliment husband want onelol, 0.8271, 5]]"
B00S5PZK3E,[0.2732],[4],"[[bulkyits, work, fit, thoughbr, want, needbr, cant, take, picture, device]]","[[bulkyits work fit thoughbr want needbr cant take picture device, 0.2732, 4]]"
B00SKJHIY4,[0.3776],[4],"[[excellent, unit, instal, afternoon, yukon, denali, disappoint, stock, unit, navigation, control, ability, use, phone, pandor, app, onscreen, get, appradio, work, multiple, degree, certification, computer, science, android, lolipop, upgrade, htc, m, enjoying, android, auto, longer, trip, require, plug, usb, im, use, auto, pandora, time, quirk, unit, get, input, source, radio, usb, bluetooth, restart, fix, unit, sound, stag, play, nice, bose, fault, bose, amp, nut, weirdest, listen, mp, usb, onboard, sd, reader, shuffle, playlist, there, way, skip, song, unit, get, deal, update, android, auto, update, pioneer, fw, update, use, pandora, w, android, auto, thats, fix, seems, android, auto, occasion, freeze, stop, give, turn, turn, direction, use, direction, time, do, youre, towing, enclose, carhauler, frustrate, turn, backtrack, mapdirections, freeze]]","[[excellent unit instal afternoon yukon denali disappoint stock unit navigation control ability use phone pandor app onscreen get appradio work multiple degree certification computer science android lolipop upgrade htc m enjoying android auto longer trip require plug usb im use auto pandora time quirk unit get input source radio usb bluetooth restart fix unit sound stag play nice bose fault bose amp nut weirdest listen mp usb onboard sd reader shuffle playlist there way skip song unit get deal update android auto update pioneer fw update use pandora w android auto thats fix seems android auto occasion freeze stop give turn turn direction use direction time do youre towing enclose carhauler frustrate turn backtrack mapdirections freeze, 0.3776, 4]]"
B00SNOTEJS,[0.736],[5],"[[look, good, fit, phone, glove, need, use, tool, remove, prying, tool, shouldnt, something, port]]","[[look good fit phone glove need use tool remove prying tool shouldnt something port, 0.736, 5]]"
B00SOE6NR8,[0.4767],[3],"[[length, charge, go, take, hour, charge, phone, charge, minute]]","[[length charge go take hour charge phone charge minute, 0.4767, 3]]"
B00SPRKTSS,[-0.469],[1],"[[advise, spend, dollar, phone, keyboard, lag, take, way, charge, receive, phone, charge, hr, get, ad, pop, ask, want, download, app, dont, know, come, download, anything, phone, speaker, phone, suck, time, stay, proper, set, screen, seem, detect, improper, tap, tap, call, button, open, message, phone, problem, thing, hate, return, leather, case, awesome, ]]","[[advise spend dollar phone keyboard lag take way charge receive phone charge hr get ad pop ask want download app dont know come download anything phone speaker phone suck time stay proper set screen seem detect improper tap tap call button open message phone problem thing hate return leather case awesome , -0.469, 1]]"
B00SXPLAOO,"[0.765, 0.8298, 0.3597]","[5, 5, 4]","[[like, case, feel, look, bought, lavender, color, bit, darker, picture, like, anyways], [fit, slim, offer, ample, protection], [uncertain, cover, far, drop, phone, time, incident]]","[[like case feel look bought lavender color bit darker picture like anyways, 0.765, 5], [fit slim offer ample protection, 0.8298, 5], [uncertain cover far drop phone time incident, 0.3597, 4]]"
B00SY9VTNG,"[0.4754, -0.7841, 0.1531, 0.8687, 0.9648]","[5, 1, 3, 5, 5]","[[get, box, broken], [product, install, pricebr, recommend], [nice, describe], [product, fit, iphone, protect, scratch, etc, apply, thank], [product, excellent, size]]","[[get box broken, 0.4754, 5], [product install pricebr recommend, -0.7841, 1], [nice describe, 0.1531, 3], [product fit iphone protect scratch etc apply thank, 0.8687, 5], [product excellent size, 0.9648, 5]]"
B00T0013H0,"[0.9201, 0.7717]","[5, 5]","[[thank], [case, perfect, carry, iphone, act, purse, recommend]]","[[thank, 0.9201, 5], [case perfect carry iphone act purse recommend, 0.7717, 5]]"
B00T3569BM,[0.0],[1],"[[day, use, oh, edge, stick, glass, hair, line, crack, phone, jeans, pocket, dont, buy]]","[[day use oh edge stick glass hair line crack phone jeans pocket dont buy, 0.0, 1]]"
B00T5ZGTBA,[0.8271],[4],"[[side, strip, break, bottom, strip, come, contact, seller, replace, cover, customer, service]]","[[side strip break bottom strip come contact seller replace cover customer service, 0.8271, 4]]"
B00TAWR12Y,[0.9349],[5],"[[item, arrive, time, package, card, vibrant, color, fit, glove]]","[[item arrive time package card vibrant color fit glove, 0.9349, 5]]"
B00TB7M9C0,"[0.5859, 0.6249, 0.884, 0.6249]","[5, 4, 5, 5]","[[work, phone, come], [work, great], [work, great], [expect, replacement, pen, note, amaze, samsung, done, job, craft, nifty, addition, flagship, device, amazon, delivers, time]]","[[work phone come, 0.5859, 5], [work great, 0.6249, 4], [work great, 0.884, 5], [expect replacement pen note amaze samsung done job craft nifty addition flagship device amazon delivers time, 0.6249, 5]]"
B00TD3QIZQ,"[0.8924, 0.765, 0.779]","[5, 2, 5]","[[case, work, love, switch, side, silenceunsilence, phone, switch, happen, achilles, heel, product, week, waterpool, use, begin, leak], [wait, give, star, bc, pass, water, test, button, side, switch, vibrate, doesnt, work, super, convenient, update, think, case, button, work, screen, protect, phone, somehow, unglued, put, replacement, return, exchange, process, quick, replacement, case, side, button, work, pass, water, test, press, screen, type, thats, case, duty, screen, protector], [protects, phone, make, hear, people, call, send, replacement, ask, work, well, seller]]","[[case work love switch side silenceunsilence phone switch happen achilles heel product week waterpool use begin leak, 0.8924, 5], [wait give star bc pass water test button side switch vibrate doesnt work super convenient update think case button work screen protect phone somehow unglued put replacement return exchange process quick replacement case side button work pass water test press screen type thats case duty screen protector, 0.765, 2], [protects phone make hear people call send replacement ask work well seller, 0.779, 5]]"
B00THJZSYS,"[0.8162, 0.0]","[5, 4]","[[add, hour, begin, use, iphone, battery, bit, heavy], [case, battery, pack, improve, version, slick, white, mophie, iphone, slick, slippery, look, elegant, grey, rubberize, edge, prefer, work, iphone, battery, life, suppose, extend, anyway, opt, battery, option, v, power, user, find, plugging, phone, battery, day, pm, use, phone, feature, day, begin, remain, battery, satisfy]]","[[add hour begin use iphone battery bit heavy, 0.8162, 5], [case battery pack improve version slick white mophie iphone slick slippery look elegant grey rubberize edge prefer work iphone battery life suppose extend anyway opt battery option v power user find plugging phone battery day pm use phone feature day begin remain battery satisfy, 0.0, 4]]"
B00TKVOJXY,"[0.5859, 0.0, -0.1215, 0.8955, 0.7751, 0.6369, 0.5719, 0.9724, 0.2263]","[5, 5, 3, 5, 5, 5, 5, 5, 3]","[[exelent, price, cellphone], [order, techsavvy, friend, seem, phone, week, half, couldnt, hear, anything, stuck, use, speakerphone, sent, replacement, phone, question, ask, replacement, phone, run, week, volume, great, friend, use, straight, talk, gsm, price, phone, great, people, need, stuff, voice, text, gps, web, phone, seems, memorycpu, apps, dont, expect, world], [excellent, phone], [look, size, feel, camera, operation, seamless, freeze, quality, ok, price], [nice, phone, doesnt, work, wind, use], [excellent, product, color, look, elegant, finish], [amaze, product], [recommend, phone, anyone, single, problem, oh, gamers, trigger, demanding, game, work, phone, ive, hand], []]","[[exelent price cellphone, 0.5859, 5], [order techsavvy friend seem phone week half couldnt hear anything stuck use speakerphone sent replacement phone question ask replacement phone run week volume great friend use straight talk gsm price phone great people need stuff voice text gps web phone seems memorycpu apps dont expect world, 0.0, 5], [excellent phone, -0.1215, 3], [look size feel camera operation seamless freeze quality ok price, 0.8955, 5], [nice phone doesnt work wind use, 0.7751, 5], [excellent product color look elegant finish, 0.6369, 5], [amaze product, 0.5719, 5], [recommend phone anyone single problem oh gamers trigger demanding game work phone ive hand, 0.9724, 5], [, 0.2263, 3]]"
B00TKWENVG,"[0.9337, 0.8126, -0.2755, 0.6705, 0.4404, 0.9512, 0.4404, 0.0, 0.5719]","[4, 4, 1, 5, 4, 5, 3, 1, 5]","[[side, work, galaxy, edge, cover, edge, good, fit, pretty, picky, screen, shield, shield, meaning, look, smooth, look, straight, tilt, side, light, source, see, smooth, surface, look, kind, lack, description, alligator, skin, dont, get, touch, say, screen, shield], [item], [take, lot, abuse, prefer, temper, glass, get, edge, option, protector, clear, fit, entire, screen, edge, recommend, screen, protector], [shield, fit, screen], [excellent], [purchase, product, mother, like, anything, happens, purchase, replacement], [put, bent], [kind, marble, textured, view, angle, liquid, fit, tho, nail, etc, dig, screen, film, appear, leave, mark, permanent, let, sit, recovers], [item, install, seem, heal, phone, couple, day, see, hold, run]]","[[side work galaxy edge cover edge good fit pretty picky screen shield shield meaning look smooth look straight tilt side light source see smooth surface look kind lack description alligator skin dont get touch say screen shield, 0.9337, 4], [item, 0.8126, 4], [take lot abuse prefer temper glass get edge option protector clear fit entire screen edge recommend screen protector, -0.2755, 1], [shield fit screen, 0.6705, 5], [excellent, 0.4404, 4], [purchase product mother like anything happens purchase replacement, 0.9512, 5], [put bent, 0.4404, 3], [kind marble textured view angle liquid fit tho nail etc dig screen film appear leave mark permanent let sit recovers, 0.0, 1], [item install seem heal phone couple day see hold run, 0.5719, 5]]"
B00TP2MFKM,[0.0],[5],"[[ship, describe]]","[[ship describe, 0.0, 5]]"
B00TUGUT38,[-0.8968],[1],"[[review, dont, give, star, need, day, place, case, morning, drop, foot, suffer, crack, black, screen, cover, warranty, pay, hefty, amount, use, insurance, case, state, shock, absorption, way, better, attach, picture, dont, phone]]","[[review dont give star need day place case morning drop foot suffer crack black screen cover warranty pay hefty amount use insurance case state shock absorption way better attach picture dont phone, -0.8968, 1]]"
B00U3LXLAW,[0.2263],[2],"[[order, case, defect, doesnt, hole, amazon]]","[[order case defect doesnt hole amazon, 0.2263, 2]]"
B00UA6ZO1Y,[0.9395],[5],"[[glad, picture, doesnt, show, say, brand, screen, amd, glad, cause, thats, reason, didnt, order, mention, brand, reason, let, say, unit, computer, board, say, manufacture, know, budget, tv, electronics, manufacturer, make, cause, knew, degree, quality, versus, make, china, name, mass, produce, unit, quality, guideline, im, ship, mine, dont, hold, ok, follow, video, youtube, easy, tool, quality, buy, electronics, tool, kit, plan, reuse, oem, tape, inside, favor, buy, electronics, tape, tip, installsearch, web, samsung, mega, screen, replacement, tear, find, use, min, video, remove, vibrator, side, button, dont, dont, need, extra, hassle, risk, damage, use, heat, gun, need, help, con, screen, glass, isnt, oem, temper, glass, screen, cover, broke, replacement, screen, try, hold, screen, glue, set, tape, use, hold, everything, together, lose, tackiness, video, say, use, glue, tape, pinch, advice, get, use, purpose, build, tape, sensitivity, trouble, screenit, act, triple, tap, screen, need, calibration, seed, screen, cable, know, happy, use, phone, data, way, backup, screen, password, pin, buy, megas, cause, phone, kill, know, torepair, phone, break, remove, replace, pieceswell, done, samsungpros, didnt, boot, loop, mention, others]]","[[glad picture doesnt show say brand screen amd glad cause thats reason didnt order mention brand reason let say unit computer board say manufacture know budget tv electronics manufacturer make cause knew degree quality versus make china name mass produce unit quality guideline im ship mine dont hold ok follow video youtube easy tool quality buy electronics tool kit plan reuse oem tape inside favor buy electronics tape tip installsearch web samsung mega screen replacement tear find use min video remove vibrator side button dont dont need extra hassle risk damage use heat gun need help con screen glass isnt oem temper glass screen cover broke replacement screen try hold screen glue set tape use hold everything together lose tackiness video say use glue tape pinch advice get use purpose build tape sensitivity trouble screenit act triple tap screen need calibration seed screen cable know happy use phone data way backup screen password pin buy megas cause phone kill know torepair phone break remove replace pieceswell done samsungpros didnt boot loop mention others, 0.9395, 5]]"
B00UNNLM4C,[0.4404],[1],"[[item, make, iphone, galaxy, sedge, return, product, something]]","[[item make iphone galaxy sedge return product something, 0.4404, 1]]"
B00UUJSI8M,[0.0258],[5],"[[arrive, certify, samsung, packaging, work, charge, galaxy, phone, order, charging, cord, use, work, travel, difference, see, charging, cord, nub, side, let, feel, way, insert, plug, arrive, time, order]]","[[arrive certify samsung packaging work charge galaxy phone order charging cord use work travel difference see charging cord nub side let feel way insert plug arrive time order, 0.0258, 5]]"
