B0002BG6CI,[0.6249],[5],"[[product, job]]","[[product job, 0.6249, 5]]"
B00B2N7B60,"[0.6369, 0.34, 0.8644]","[5, 5, 4]","[[problem, part, inside, ampen, part, fit, fell, contact, told, send, replace, meantime, find, part, come, make, work, follow, fell, couldnt, find, purchase, ampen, hope, continue, work, meantime, cant, find, tip, buy, course, fault, hope, remember, put, need, lol, buy, set], [stylus, ive, use, ipad, responds], [product, problem, doesnt, come, extra, tip]]","[[problem part inside ampen part fit fell contact told send replace meantime find part come make work follow fell couldnt find purchase ampen hope continue work meantime cant find tip buy course fault hope remember put need lol buy set, 0.6369, 5], [stylus ive use ipad responds, 0.34, 5], [product problem doesnt come extra tip, 0.8644, 4]]"
B00B59OCZE,"[0.2732, 0.9359]","[4, 5]","[[product, value, flipcover, replaces, samsungs, back, battery, cover, stronger, plastic, phone, great, look, feel, recommend], [case, provide, protection, face, phone, work]]","[[product value flipcover replaces samsungs back battery cover stronger plastic phone great look feel recommend, 0.2732, 4], [case provide protection face phone work, 0.9359, 5]]"
B00BUFUU0E,[0.3612],[5],"[[price, pay]]","[[price pay, 0.3612, 5]]"
B00CIZA1I6,[0.7245],[5],[[bling]],"[[bling, 0.7245, 5]]"
B00DOHE6ZQ,[0.0],[3],"[[get, yr, niece, ipod, touch, wouldnt, advice, drop, see, work, look, cheap, feel, cheap]]","[[get yr niece ipod touch wouldnt advice drop see work look cheap feel cheap, 0.0, 3]]"
B00DY6Y08U,[0.4927],[5],[[case]],"[[case, 0.4927, 5]]"
B00EEIVE4K,[0.6124],[5],"[[fit, glove]]","[[fit glove, 0.6124, 5]]"
B00EP9A7X2,[0.5015],[1],"[[wish, unselect, start, give, thisbr, clip, broke, week, usebr, recommend, came, phone, weave, material, clip, fall, apart, clip, hold, went, tattered, go, buy, get, pay]]","[[wish unselect start give thisbr clip broke week usebr recommend came phone weave material clip fall apart clip hold went tattered go buy get pay, 0.5015, 1]]"
B00ESYO6YK,"[0.7107, 0.0719, -0.3193, 0.4754, -0.4767, 0.3605, 0.5719]","[5, 2, 2, 5, 5, 2, 5]","[[use, money, clip, dont, thing, pocket, cell, case, hold, crisp, bill, couple, card, perfect, carry], [difficult, reviewer, post, try, price], [recommend, wallet, get, imagine, become, going, stay, shut, wish, return, get, case, slimmer, design, wallet, feature, quality, case, notch], [excellent, product, fast, delivery], [nice], [size], [ok, make, phone, credit, card, department, sure, want, secure, scrap, hand, knuckle, time, try, complaint, space, card, driver, license, take, space, card, leaving, room, doesnt, work, want, work, cc, ccor, amex, something, place, take, amexbr, br, break, spot, couple, monthsbr, br, buy, product]]","[[use money clip dont thing pocket cell case hold crisp bill couple card perfect carry, 0.7107, 5], [difficult reviewer post try price, 0.0719, 2], [recommend wallet get imagine become going stay shut wish return get case slimmer design wallet feature quality case notch, -0.3193, 2], [excellent product fast delivery, 0.4754, 5], [nice, -0.4767, 5], [size, 0.3605, 2], [ok make phone credit card department sure want secure scrap hand knuckle time try complaint space card driver license take space card leaving room doesnt work want work cc ccor amex something place take amexbr br break spot couple monthsbr br buy product, 0.5719, 5]]"
B00EUWX01U,[0.9118],[4],"[[work, phone, case, struggle, take, get, tight, fit, work]]","[[work phone case struggle take get tight fit work, 0.9118, 4]]"
B00F3J2KNI,"[-0.1307, 0.0, 0.8735]","[4, 1, 4]","[[concern, buy, qi, receiver, samsung, g, hand, want, buy, oem, cover, samsung, add, bulk, phone, didnt, want, affect, fit, otterbox, symmetry, case, hand, concern, bying, qi, card, afraid, card, technology, g, hear, cheap, card, work, decide, try, card, thin, card, thin, say, sort, spot, top, card, electro, magnet, connects, metal, contact, connection, point, bit, thicker, place, cover, leave, slight, indention, indention, close, camera, phone, see, lift, case, phone, guess, card, technology, put, phone, box, case, seem, back, cover, closer, phone, good, case, believe, card, undo, technology, withstand, submersion, length, time, describe, samsung, test, waterproof, capability, hope, dont, buy, charger, brand, buy, incipio, charge, pad, seem, work, focus, card, review, charger, work, need, take, case, charge, work, fine, case, thing, need, charging, wireless, charge, fast, plug, use, wireless, charge, charge, overnight, office, keep, phone, top, shouldnt, matter, second, thing, reason, wireless, charge, connect, charge, energy, go, turn, phone, get, hot, matter, product, use, card, believe, get, hot, risk, damaging, phone], [idea, thin, otterbox, doesnt, work, charger, phone, charger, trident, work, take, charge, wireless, furture, design, faster, charging], [product, didnt, work]]","[[concern buy qi receiver samsung g hand want buy oem cover samsung add bulk phone didnt want affect fit otterbox symmetry case hand concern bying qi card afraid card technology g hear cheap card work decide try card thin card thin say sort spot top card electro magnet connects metal contact connection point bit thicker place cover leave slight indention indention close camera phone see lift case phone guess card technology put phone box case seem back cover closer phone good case believe card undo technology withstand submersion length time describe samsung test waterproof capability hope dont buy charger brand buy incipio charge pad seem work focus card review charger work need take case charge work fine case thing need charging wireless charge fast plug use wireless charge charge overnight office keep phone top shouldnt matter second thing reason wireless charge connect charge energy go turn phone get hot matter product use card believe get hot risk damaging phone, -0.1307, 4], [idea thin otterbox doesnt work charger phone charger trident work take charge wireless furture design faster charging, 0.0, 1], [product didnt work, 0.8735, 4]]"
B00F4MFMWA,[0.8591],[5],"[[nice, soft, gel, fit]]","[[nice soft gel fit, 0.8591, 5]]"
B00F6AD21S,[-0.4585],[1],"[[happy, product, garmin, unit, mini, connection, sent, micro]]","[[happy product garmin unit mini connection sent micro, -0.4585, 1]]"
B00F90D26A,"[0.3612, 0.4215]","[5, 4]","[[nice, expect]]","[[nice expect, 0.3612, 5], [, 0.4215, 4]]"
B00FA5OV8W,[0.0],[4],"[[collect, circle, make, mark, phone]]","[[collect circle make mark phone, 0.0, 4]]"
B00FDJAI3W,[-0.0823],[1],"[[battery, swell, case, longer, work, year, factory, case, boo]]","[[battery swell case longer work year factory case boo, -0.0823, 1]]"
B00FES2TU2,[0.8655],[5],"[[love, thisstays, hold, garmin]]","[[love thisstays hold garmin, 0.8655, 5]]"
B00FFXRTJW,[0.4404],[4],[[thanks]],"[[thanks, 0.4404, 4]]"
B00FQVGHRS,[0.6486],[4],[[value]],"[[value, 0.6486, 4]]"
B00GNIFUB2,[-0.5719],[1],"[[waste, money, stop, work, month, use, cheap, plug, sticking, oem]]","[[waste money stop work month use cheap plug sticking oem, -0.5719, 1]]"
B00GNR4QG8,[0.6249],[5],"[[job, protect, phone, screen]]","[[job protect phone screen, 0.6249, 5]]"
B00HA2XBHA,[-0.1044],[1],"[[understand, order, screen, protector, lg, g, inch, screen, arrive, mail, something, cover, screen, theyre, phone, dont, fit, screen, disappoint, gone, store, order, online, dont, waste, money, thing, good, fill, space, shelf]]","[[understand order screen protector lg g inch screen arrive mail something cover screen theyre phone dont fit screen disappoint gone store order online dont waste money thing good fill space shelf, -0.1044, 1]]"
B00HAULRP0,[-0.2755],[1],"[[look, nothing]]","[[look nothing, -0.2755, 1]]"
B00HFPOXCY,"[0.296, 0.7951, 0.9022, 0.7906]","[4, 5, 5, 4]","[[use, sync, come, band, accommodate, wrist, size, awesome, product], [tracker, comfort, fit, easy, sync], [ok], [wear, day, help, get, move, find, checking, band, day, walk, need, walk, get, distance, need, get, computer, tv, sew, machine, walk, get, well, exercise, receive, band, year, love]]","[[use sync come band accommodate wrist size awesome product, 0.296, 4], [tracker comfort fit easy sync, 0.7951, 5], [ok, 0.9022, 5], [wear day help get move find checking band day walk need walk get distance need get computer tv sew machine walk get well exercise receive band year love, 0.7906, 4]]"
B00HNEV5S2,[-0.0749],[3],"[[like, fit, lgg, case, great]]","[[like fit lgg case great, -0.0749, 3]]"
B00HOHPO30,"[0.0, 0.8481]","[5, 5]","[[describe], [awesome, quality, price]]","[[describe, 0.0, 5], [awesome quality price, 0.8481, 5]]"
B00ID1H7VS,"[0.5719, 0.4877, -0.4497, 0.9941, 0.4939, 0.886, 0.7964, 0.4019, 0.8926, 0.7832]","[5, 5, 1, 5, 5, 5, 5, 5, 5, 4]","[[notice, tourist, use, lanyardstyle, case, vacation, think, keep, phone, get, wet, andor, cover, sand, girlfriend, suggest, pick, case, eastern, cruise, embark, agreed, knew, beach, couple, time, trip, find, protection, foot, water, determine, take, snorkeling, mind, paper, towel, test, bucket, water, trip, pass, mark, beach, bit, snorkel, case, go, wavy, water, water, murky, capture, clear, image, water, take, cool, video, wave, crash, phone, image, come, crisp, screen, function, cover, beach, day, calmer, location, take, nice, picture, video, underwater, snorkel, note, see, capture, review, sunlight, snorkel, goggles, point, shot, hop, blur, underwater, shot, one, video, turn, well, expect, case, manage, keep, phone, dry, sandfree, whole, time, downside, mention, others, case, fault, touch, screen, doesnt, function, use, water, simple, fix, set, volume, button, capture, button, picture, take, video, press, record, go, came, water, stop], [seem, sturdy, look, minute, water, string, pop, lost, phone], [job], [case, amaze, keep, phone, taking, water, use, case, im, hike, exercising, phone, im, wear, thing, pocket], [use, snorkel, key, work, advertise, convenient, store, phonedrivers, licensecredit, cardcash, eliminate, need, carry, wallet], [use, phone, run, work, cant, speak, submerge, running, case, use, leave, phone, compartment, misty], [awesome, product, take, fish, pic, thru, case, clear, worry, drop, phone, drink], [use, fish, keep, phone, dry, price, use, phone, case], [case, beast, protect, phone, anything, wallet, size, water, period, time, problem, lock, secure, recommend, anybody, phone, plan, use, phone, interrupt, phone, signal, touch, screen, problem, camera, wasnt, block, drawback, case, fog, period, use]]","[[notice tourist use lanyardstyle case vacation think keep phone get wet andor cover sand girlfriend suggest pick case eastern cruise embark agreed knew beach couple time trip find protection foot water determine take snorkeling mind paper towel test bucket water trip pass mark beach bit snorkel case go wavy water water murky capture clear image water take cool video wave crash phone image come crisp screen function cover beach day calmer location take nice picture video underwater snorkel note see capture review sunlight snorkel goggles point shot hop blur underwater shot one video turn well expect case manage keep phone dry sandfree whole time downside mention others case fault touch screen doesnt function use water simple fix set volume button capture button picture take video press record go came water stop, 0.5719, 5], [seem sturdy look minute water string pop lost phone, 0.4877, 5], [job, -0.4497, 1], [case amaze keep phone taking water use case im hike exercising phone im wear thing pocket, 0.9941, 5], [use snorkel key work advertise convenient store phonedrivers licensecredit cardcash eliminate need carry wallet, 0.4939, 5], [use phone run work cant speak submerge running case use leave phone compartment misty, 0.886, 5], [awesome product take fish pic thru case clear worry drop phone drink, 0.7964, 5], [use fish keep phone dry price use phone case, 0.4019, 5], [case beast protect phone anything wallet size water period time problem lock secure recommend anybody phone plan use phone interrupt phone signal touch screen problem camera wasnt block drawback case fog period use, 0.8926, 5], [, 0.7832, 4]]"
B00IGISQUO,"[0.802, 0.4019, 0.1124, 0.431, 0.6111, 0.8055, 0.7906, 0.8481, -0.6696, 0.4927]","[5, 3, 3, 4, 4, 5, 5, 5, 1, 5]","[[film, protector, samsung, price], [anti, finger, print, work, somewhat, see, rainbow, pixel, look, screen], [receive, screen, protector, description, say, pack, contact, tech, armor, havent, coordinate, replacement], [get, refund, product, go, get, icarez, night, day], [matte, cover, get, matte, cover, didnt, wipe, screen, time, mess, protector, get, time, apply, bubblefree, matte, cover, nice, twoyearold, sister, doesnt, leave, fingerprint, anymore, buy], [advertise, bad, price], [seems, phone, month, become, hazy, didnt, seem, screen, protector, last, month, thing, annoy, buy, need, splurge, get, last], [protector, fit, get, crack, phone, screen, protector, didnt, cover, whole, area, matte, finish, see, finger, print, screen, make, lot, noise, youre, swipe, screen, texting, anti, glare, cover, make, slightest, bit, pixelated, oppose, glossy, finish, screen, protector]]","[[film protector samsung price, 0.802, 5], [anti finger print work somewhat see rainbow pixel look screen, 0.4019, 3], [receive screen protector description say pack contact tech armor havent coordinate replacement, 0.1124, 3], [get refund product go get icarez night day, 0.431, 4], [matte cover get matte cover didnt wipe screen time mess protector get time apply bubblefree matte cover nice twoyearold sister doesnt leave fingerprint anymore buy, 0.6111, 4], [advertise bad price, 0.8055, 5], [seems phone month become hazy didnt seem screen protector last month thing annoy buy need splurge get last, 0.7906, 5], [protector fit get crack phone screen protector didnt cover whole area matte finish see finger print screen make lot noise youre swipe screen texting anti glare cover make slightest bit pixelated oppose glossy finish screen protector, 0.8481, 5], [, -0.6696, 1], [, 0.4927, 5]]"
B00INULG0C,[0.7906],[4],"[[case, color, come, try, clean, alcohol, pad]]","[[case color come try clean alcohol pad, 0.7906, 4]]"
B00J39QHO2,[0.765],[5],"[[size, want, fit, purse]]","[[size want fit purse, 0.765, 5]]"
B00J9CECP4,[0.8173],[5],"[[work, ]]","[[work , 0.8173, 5]]"
B00JAW9F7S,[0.2235],[2],"[[screen, saver, doesnt, show, effect, privacy, none, whatsoever, know, buy]]","[[screen saver doesnt show effect privacy none whatsoever know buy, 0.2235, 2]]"
B00JFJSTRS,[-0.0516],[5],"[[read, sun, take, test, flight, saturday, leave, sun, hour, flight, humid, florida, day, overheat, problem, work, time]]","[[read sun take test flight saturday leave sun hour flight humid florida day overheat problem work time, -0.0516, 5]]"
B00JTGL1JK,[0.6997],[5],"[[fit, phone]]","[[fit phone, 0.6997, 5]]"
B00JWINAJE,[0.3724],[3],"[[work, crazy]]","[[work crazy, 0.3724, 3]]"
B00K0TSADA,[0.296],[4],"[[screen, protector, thing, line, one, receive, complain, price, quality, decent]]","[[screen protector thing line one receive complain price quality decent, 0.296, 4]]"
B00K1GQR2I,[0.8658],[5],"[[thanks, meet, expectation]]","[[thanks meet expectation, 0.8658, 5]]"
B00K5TFO98,"[0.6249, -0.6187, 0.5719, 0.6249]","[4, 5, 5, 5]","[[samsung, phone, us, lot, power, apps, charge, buy, cheap, car, working, get, stop, work, decide, buy, thing, surprise, work, car, charge, cheap, longer, worry, phone, charge, travel, product], [work, perfect], [purchase, item, second, car, work, upgrade, phone], [work, great, box, store]]","[[samsung phone us lot power apps charge buy cheap car working get stop work decide buy thing surprise work car charge cheap longer worry phone charge travel product, 0.6249, 4], [work perfect, -0.6187, 5], [purchase item second car work upgrade phone, 0.5719, 5], [work great box store, 0.6249, 5]]"
B00KFW8OSI,[0.9169],[5],"[[cover, fit, hole, hole, place, recommend]]","[[cover fit hole hole place recommend, 0.9169, 5]]"
B00KL4JYPM,[0.8115],[5],"[[product, well, film, product]]","[[product well film product, 0.8115, 5]]"
B00KMJTKZK,[0.6908],[5],"[[fit, hand, problem, doesnt, remain, close, strip, keep, close, love, red]]","[[fit hand problem doesnt remain close strip keep close love red, 0.6908, 5]]"
B00KMMXITQ,"[-0.7264, -0.9153, 0.0, -0.6249, 0.0]","[1, 1, 5, 4, 5]","[[lose, broke, beltclip, replace, issue], [meet, expectation], [clip, worst, know, keep, waste, money, break, time, unclip, phone, make, crack, clasp, half], [product, broke, day, case, buy]]","[[lose broke beltclip replace issue, -0.7264, 1], [meet expectation, -0.9153, 1], [clip worst know keep waste money break time unclip phone make crack clasp half, 0.0, 5], [product broke day case buy, -0.6249, 4], [, 0.0, 5]]"
B00KQ3D7LU,[0.8779],[4],"[[snap, darker, look, picture, light, see, purple, look, pink, get, case, use, edge, top, side, price, nice, protector]]","[[snap darker look picture light see purple look pink get case use edge top side price nice protector, 0.8779, 4]]"
B00KSXJCB2,"[0.5719, 0.9257, 0.9876]","[5, 5, 5]","[[excellent, protection], [easiest, application, didnt, get, single, bubblepocket, ive, order, brand, amazon, surpass, expectation, go, temp, glass, cover, candy, burbs, screen, protector, screen, come, assistance, dust, remover, cloth, go, stuck, glass, instal, one, buy, alwayz, get, air, corner, dont, get, time, sol, got, m, order, brand, impress, d], [reason, buy, screen, protector, receive, warranty, replacement, phone, thats, story, nevertheless, keep, come, brand, installs, send, everything, need, suction, cup, larger, tablet, protector, see, protect, work, phone, nick, screen, protector, nick, shatter, screen, intact, feel, screen, value, great, nothing, say]]","[[excellent protection, 0.5719, 5], [easiest application didnt get single bubblepocket ive order brand amazon surpass expectation go temp glass cover candy burbs screen protector screen come assistance dust remover cloth go stuck glass instal one buy alwayz get air corner dont get time sol got m order brand impress d, 0.9257, 5], [reason buy screen protector receive warranty replacement phone thats story nevertheless keep come brand installs send everything need suction cup larger tablet protector see protect work phone nick screen protector nick shatter screen intact feel screen value great nothing say, 0.9876, 5]]"
B00KTNTYUU,[0.9675],[3],"[[case, stop, charging, day, warranty, buy, replace, shiny, finish, seem, time, need, drop, phone, case, notice, case, doesnt, seem, recharge, phone, case, need, remove, phone, tricky, case, top, part, doesnt, move, dont, want, break, otherwise, blink, yes, phone, charge, case, dont, know, flaw, way, phone, case, suppose, work, love, case, ok, price, ability, charge, phone, like, case, better]]","[[case stop charging day warranty buy replace shiny finish seem time need drop phone case notice case doesnt seem recharge phone case need remove phone tricky case top part doesnt move dont want break otherwise blink yes phone charge case dont know flaw way phone case suppose work love case ok price ability charge phone like case better, 0.9675, 3]]"
B00KY31UJI,"[0.4902, 0.4754, 0.3612]","[5, 5, 5]","[[product, get, screen, protector], [want, pay, dollar, price, well], [satisfy]]","[[product get screen protector, 0.4902, 5], [want pay dollar price well, 0.4754, 5], [satisfy, 0.3612, 5]]"
B00L2SCFAM,[0.5719],[5],"[[wife, love]]","[[wife love, 0.5719, 5]]"
B00L3FUWZO,[0.3492],[3],"[[product, film, protectant, wasnt, easy, put, charge, device, take, gray, case, holder, inconvenience, product, function]]","[[product film protectant wasnt easy put charge device take gray case holder inconvenience product function, 0.3492, 3]]"
B00L4EDOQS,[0.9238],[5],"[[case, order, trouble, order, receive, customer, service, feel, classy, walk, pointer, come, keep, face, phone]]","[[case order trouble order receive customer service feel classy walk pointer come keep face phone, 0.9238, 5]]"
B00L6C4O5I,"[0.9184, 0.3612]","[5, 5]","[[work, promise], [excellent, device, take, selfies, selfie, stick, bluetooth, pair, superb, pair, device, cant, pair, unless, reset, feature, good, way, connect, pair, device, time, im, bought, use, cheap, chinese, make, keep, disconnect, time, add, frustration, wish, come, neck, slingits, im, afraid, loose]]","[[work promise, 0.9184, 5], [excellent device take selfies selfie stick bluetooth pair superb pair device cant pair unless reset feature good way connect pair device time im bought use cheap chinese make keep disconnect time add frustration wish come neck slingits im afraid loose, 0.3612, 5]]"
B00L8ECJ9W,"[0.7906, 0.3651]","[5, 1]","[[fit, great, install, protector], [apply, screen, protector, device, friends, electronics, say, worst, use, went, get, air, bubble, wasnt, bubble, bubble, cover, screen, sure, product, good, rating, star]]","[[fit great install protector, 0.7906, 5], [apply screen protector device friends electronics say worst use went get air bubble wasnt bubble bubble cover screen sure product good rating star, 0.3651, 1]]"
B00L8TC5HS,[-0.4215],[1],"[[broke, month, way]]","[[broke month way, -0.4215, 1]]"
B00L9RPIL4,[-0.7321],[1],"[[screen, crack, corner, mistake, try, use, made, worse, difficult, return, item, seller, loss]]","[[screen crack corner mistake try use made worse difficult return item seller loss, -0.7321, 1]]"
B00LFJKQPY,"[0.128, -0.5136, 0.0, -0.6124, -0.1154, 0.0, 0.8338, -0.8655, 0.34, -0.1154, 0.0, -0.2755, 0.0, 0.0, 0.2584, 0.0]","[1, 1, 5, 1, 1, 5, 5, 2, 1, 1, 5, 4, 1, 3, 2, 1]","[[come, date, expect, come, dat, plus, remote, wont, snap, place, tape, note, try, take, pic, keep, rollin, wont, stay, n, place, snap, pic, make, useless, refund], [broke, day, use, stop, extend, wont, hold, phone, steady], [excelente], [order, battery, didnt, work, true, replace, stay, tight, work], [work, part, extend, broke, afyer, day], [bit, worry, pricing, work, love], [part, hold, phone, sturdy, flop, try, take, picture], [work, support, phone, drop, n, slide, position, stick, part, flemsy, cheep, material], [break], [fit, phone], [tks], [broke, use, button, doesnt, work, good, button, stick], [selfie, game], [battery, cover, close, battery, hold, phone, otterbox, case], [receive, product, give, time, quality, poor, use, broke, guess, get, pay, disappoint], [couldnt, close, battery, compartment, remote, doesnt, work]]","[[come date expect come dat plus remote wont snap place tape note try take pic keep rollin wont stay n place snap pic make useless refund, 0.128, 1], [broke day use stop extend wont hold phone steady, -0.5136, 1], [excelente, 0.0, 5], [order battery didnt work true replace stay tight work, -0.6124, 1], [work part extend broke afyer day, -0.1154, 1], [bit worry pricing work love, 0.0, 5], [part hold phone sturdy flop try take picture, 0.8338, 5], [work support phone drop n slide position stick part flemsy cheep material, -0.8655, 2], [break, 0.34, 1], [fit phone, -0.1154, 1], [tks, 0.0, 5], [broke use button doesnt work good button stick, -0.2755, 4], [selfie game, 0.0, 1], [battery cover close battery hold phone otterbox case, 0.0, 3], [receive product give time quality poor use broke guess get pay disappoint, 0.2584, 2], [couldnt close battery compartment remote doesnt work, 0.0, 1]]"
B00LJ1BTCM,[0.6997],[4],"[[case, stand, watch, shoe]]","[[case stand watch shoe, 0.6997, 4]]"
