B0000AKAHN,[0.4404],[4],[[backup]],"[[backup, 0.4404, 4]]"
B00AWNZSCK,"[0.4754, 0.4588]","[5, 5]",[[nice]],"[[nice, 0.4754, 5], [, 0.4588, 5]]"
B00B6ZBGHY,"[-0.0554, -0.3071]","[5, 3]","[[cover, broke, purchase], [didnt, fit, iphone, ]]","[[cover broke purchase, -0.0554, 5], [didnt fit iphone , -0.3071, 3]]"
B00BLGNQNA,[0.0],[3],"[[fell, apart, couple, month]]","[[fell apart couple month, 0.0, 3]]"
B00CHH2UGQ,[-0.1531],[1],"[[cheap, plastic, break, taking, package, mirror, scratch, use]]","[[cheap plastic break taking package mirror scratch use, -0.1531, 1]]"
B00CKYH9Q2,"[0.8805, 0.4019]","[4, 5]","[[pickiest, stereo, connoisseur, ever, meet, give, stereo, star, fan, feature, command, bury, multiple, menu, think, kenwood, pioneer, stereo, ironclad, build, head, unit, alpine, decades, build, quality, unit, flagship, design], [head, unit, sound, awesome, give, plenty, power, speaker, audio, system, car, problem, think, option, save, name, song, radio, iphone, user, get, unit, dis, play, name, radio, analog, connection]]","[[pickiest stereo connoisseur ever meet give stereo star fan feature command bury multiple menu think kenwood pioneer stereo ironclad build head unit alpine decades build quality unit flagship design, 0.8805, 4], [head unit sound awesome give plenty power speaker audio system car problem think option save name song radio iphone user get unit dis play name radio analog connection, 0.4019, 5]]"
B00CNU3H2S,"[-0.1695, 0.6997]","[2, 5]","[[quality, price, buy, happy], [worth, money, husband, case, less, month, magnet, stay, close, turn, phone, screen, use, way, battery, time]]","[[quality price buy happy, -0.1695, 2], [worth money husband case less month magnet stay close turn phone screen use way battery time, 0.6997, 5]]"
B00D901B4W,"[0.9034, 0.8555, 0.0, 0.0, 0.6249, 0.2617, 0.7199, 0.6249, -0.1628, 0.5719, 0.7506, 0.9081, 0.0, -0.2755, 0.1027, -0.6652, 0.0, 0.2263, -0.128, 0.2136, -0.3217, 0.9152, 0.4404, 0.6249, 0.7759, -0.4767, 0.7309, 0.6597]","[4, 5, 5, 4, 4, 4, 3, 5, 1, 5, 5, 5, 5, 3, 4, 3, 2, 4, 5, 3, 3, 5, 4, 5, 5, 1, 5, 5]","[[work, want, mine, husband, phone, fit, shape, size, air, vent, hold, phone], [work, ok, dont, fact, doesnt, attach, ac, vent, take, phone, thing, everything, come], [buy, husband, birthday, us, time, phone, handy, sturdy], [fell, couple, time, horizontal, work, verticle], [using, android, gps, car], [itits, sturdy, hold, cell, phone], [product], [poor, plastic, quality, nonsmooth, surface, want, return, cost], [product, vent, arent, recess, prevent, good, hold, b, phone, case, isnt, deep, fall, grip, b, issue, wallet, case, put, grip, part, phone, case, edge, grip, arm, arm, deeper, phone, alas, switch, type, mount], [pricy], [fit, iphone, case, take, case, time, get, car], [way, use, worth, buy], [thing, awesome, fit, ac, vent, way, position, want, easy, get, phone, work, variety, phone, model, iphone, love], [cell, phone, holder, use, move, multiple, vehicle, fit, variety, vent], [work, describe, handy], [car, accessory, super, handy, design, dont, leave, home], [excellent, product, compact, efficient, item], [dont, way, grip, vent, vw, gti, hold, samsung, firm, fit, grip, vent, remove, airframe, effort], [perfect], [airframe, work, month, hold, phone, place, part, attache, car, air, vent, widen, bent, shape, longer, mount, piece, poke, rubber, leave, either, scratch, car, phonebr, br, buy, mount, think, pricey, arrive, appear, quality, product, month, return, policy, clip, useless], [searching, bulky, take, half, dash, constant, fall, windshield, weather, hot, cold, fit, snug, vent, reach], [product, loosen, use, vent, blade], [make, product, mount, hold, iphone, ], [hold, phone, girlfriend, doesnt], [work, great, make, remove, phone, turn, heater, make, ideal, winter, remove, need], [time, pull, de, ac, exit, plastic, point, fell], [work, advertise], [work, great, installation, phone, easy, access, stay, cool]]","[[work want mine husband phone fit shape size air vent hold phone, 0.9034, 4], [work ok dont fact doesnt attach ac vent take phone thing everything come, 0.8555, 5], [buy husband birthday us time phone handy sturdy, 0.0, 5], [fell couple time horizontal work verticle, 0.0, 4], [using android gps car, 0.6249, 4], [itits sturdy hold cell phone, 0.2617, 4], [product, 0.7199, 3], [poor plastic quality nonsmooth surface want return cost, 0.6249, 5], [product vent arent recess prevent good hold b phone case isnt deep fall grip b issue wallet case put grip part phone case edge grip arm arm deeper phone alas switch type mount, -0.1628, 1], [pricy, 0.5719, 5], [fit iphone case take case time get car, 0.7506, 5], [way use worth buy, 0.9081, 5], [thing awesome fit ac vent way position want easy get phone work variety phone model iphone love, 0.0, 5], [cell phone holder use move multiple vehicle fit variety vent, -0.2755, 3], [work describe handy, 0.1027, 4], [car accessory super handy design dont leave home, -0.6652, 3], [excellent product compact efficient item, 0.0, 2], [dont way grip vent vw gti hold samsung firm fit grip vent remove airframe effort, 0.2263, 4], [perfect, -0.128, 5], [airframe work month hold phone place part attache car air vent widen bent shape longer mount piece poke rubber leave either scratch car phonebr br buy mount think pricey arrive appear quality product month return policy clip useless, 0.2136, 3], [searching bulky take half dash constant fall windshield weather hot cold fit snug vent reach, -0.3217, 3], [product loosen use vent blade, 0.9152, 5], [make product mount hold iphone , 0.4404, 4], [hold phone girlfriend doesnt, 0.6249, 5], [work great make remove phone turn heater make ideal winter remove need, 0.7759, 5], [time pull de ac exit plastic point fell, -0.4767, 1], [work advertise, 0.7309, 5], [work great installation phone easy access stay cool, 0.6597, 5]]"
B00DVEJA7G,"[0.6249, 0.4404]","[5, 5]","[[anything], [work, great]]","[[anything, 0.6249, 5], [work great, 0.4404, 5]]"
B00DW0B0A4,"[0.0, 0.8271]","[1, 4]","[[design, peel, phone, short, time, buy]]","[[design peel phone short time buy, 0.0, 1], [, 0.8271, 4]]"
B00E3J5C3O,[0.5719],[5],"[[fit, perfect]]","[[fit perfect, 0.5719, 5]]"
B00E6K2PV2,[0.3451],[5],"[[doesnt, protect, top, bottom, screen]]","[[doesnt protect top bottom screen, 0.3451, 5]]"
B00ECJS5CU,[0.4215],[4],[[nice]],"[[nice, 0.4215, 4]]"
B00EFYUK5W,[0.7964],[5],"[[phone, case, protect, phone, breaking, time]]","[[phone case protect phone breaking time, 0.7964, 5]]"
B00FEZ7JYQ,[0.9231],[4],"[[kickstand, seem, flimsy, hold, like, snap, style, heavy, duty, add, weight, add, excellent, grip, worth]]","[[kickstand seem flimsy hold like snap style heavy duty add weight add excellent grip worth, 0.9231, 4]]"
B00G12XXUU,[0.0],[5],"[[era, ]]","[[era , 0.0, 5]]"
B00GR974IY,[0.8883],[5],"[[enjoy, case, arrive, time, like, phone]]","[[enjoy case arrive time like phone, 0.8883, 5]]"
B00H5I8MNM,"[0.4215, 0.4404, 0.4588, 0.3384, 0.4404]","[5, 5, 5, 5, 5]","[[work], [charger, come, phone, good, price], [like, oem, charger, come, phone, lose, buy], [nice], [expect, price, quick, delivery]]","[[work, 0.4215, 5], [charger come phone good price, 0.4404, 5], [like oem charger come phone lose buy, 0.4588, 5], [nice, 0.3384, 5], [expect price quick delivery, 0.4404, 5]]"
B00HZY338A,[0.2023],[5],"[[perform, summer, trip, couple, mile, jaunt]]","[[perform summer trip couple mile jaunt, 0.2023, 5]]"
B00IEFXDO8,"[0.7841, 0.3818, 0.4754, 0.2023, -0.6176, 0.8621, 0.0, 0.5719, 0.5423, -0.2247, 0.6369, 0.7351, 0.2732, -0.8328, 0.8908, 0.5994, 0.1531, 0.5574, 0.0, 0.4767, 0.6124, 0.0, 0.6249, 0.0, 0.0, 0.8779, 0.4215, 0.4215, -0.3875, 0.4497, 0.4588, 0.1513, 0.5499, 0.0, 0.8674, 0.0, 0.891, 0.0, 0.0, 0.9042, -0.128, 0.6249, 0.1004, 0.0, 0.0, 0.6887, 0.0, -0.1695, 0.3612, 0.0, 0.6318, 0.7351, -0.3678, 0.7346, 0.5994, 0.0, 0.0, 0.6213, 0.4927]","[5, 5, 4, 2, 2, 5, 1, 5, 5, 3, 5, 5, 2, 2, 5, 5, 2, 1, 5, 5, 5, 5, 4, 4, 5, 1, 4, 4, 2, 4, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 2, 5, 4, 5, 5, 1, 5, 5, 4, 5, 4, 5]","[[son, us, time, give, aa, rating], [perform, advertise], [nice, charger, charge, iphone, faster, think], [work, great, leave, car, go], [work, great, charge], [husband, charge, phone, car], [use, month, output, cant, confirm, output, work, charger, quality, amazon, basic], [work, advertise], [work, didnt, short, causing, phone, become, stop, charging, time, annoy, stop, use, worry, damage, phone], [need, return, doesnt, charge, iphone, brand, iphone, discount, boo, dont, care, work, charge, thing, hence, star], [charge, fit, socket, light, reminds, plug, amazonbasics, lost, happy], [adapter, using, month, issue, notice, work, samsung, charge, plug, try, havent, need], [dono, dosnt, charge, fast, car, cool, thing, dosnt, make, heat, usb, place, phone, opo], [value, use, car, kindle, son, watch, show, travel, last, time, work], [compact, solid, handle], [perfect, solution, electronics, fit, perfect], [fail, amazon, gave, credit, gotta, love, tho, amazonians], [job], [charger, purchase, maintain, present, charge, phone, charger, charge, phone, drive], [work, describe], [handy, car], [fit, area, plug, car], [plan, use, product, listen, radio, forget, product, fcc, approve, cause, interference, radio, station, sham, amazon, sell, po], [quality, cable, sturdy, wish, bit, longer, excellent, price], [nice, iwll, buy], [didnt, charge, samsung], [work, great, put, get, stuck, charger, powergen, charger], [amazon, need, job, amazonbasics, make, price], [work, advertise, recharge, phone, device, usb, connector], [charger, work, give, star, unplug, plug, phone, power], [perfect, charge, device, trip], [work], [glad, someone, come, decent, aftermarket, product, go, amazonbasics, well, belkin, brand, sell, price, point], [item, describe, price, find, shipping, quicker, expect], [connection, consistent, time, ok, reconnect, plug, wake], [work, wall, plug, lot, trouble, use, gps, drive, drain, battery, car, charger, couldnt, replenish, fast, use, battery, trick, give, add, boost], [work], [plug, device, tends, charge, device, plug], [product], [need], [price, amaze, husband, wont, fight, who, phone, dead, ], [work, chargingrunning, everything, threw, better, others, ive, spent], [held, great, car], [buy, move, country, work, week, use, day, use, time, doesnt, charge, device, test, cigarette, lighter, charger, work, charger, returning, point, disappoint, quality, gas, station, charger, somehow, outlast], [product, simple, convenient, automobile, traveler, usb, output, avoids, conflict], [amazon, basic, better, dozen, charger, purchase, year, make, charge, bargain, purchase, car, boat, camper], [think, charger, make, fact, port, amp, lot, second, port, amp, cause, device, charge], [buy, lead, let, light, work, charge, fine, didnt, feel, messing, return, thought, id, let, know], [disapointing, charge, believe, hype, go, job], [power, power, power, sum, provide, power, phone, nexus, oneplus, power, amp, usb, plug, none, b, amp, use, plug, crap, nope, charge, device, love, plug], [quality], [perfect, fit], [work, downside, get, stick, car, difficult, remove, pull, dash], [work], [purchase, husband, week, break, unit, pop, hop, fluke, plan, return], [make, time, write, review], [charge, great, stick, outlet, jeep, cause, hit, shift, way]]","[[son us time give aa rating, 0.7841, 5], [perform advertise, 0.3818, 5], [nice charger charge iphone faster think, 0.4754, 4], [work great leave car go, 0.2023, 2], [work great charge, -0.6176, 2], [husband charge phone car, 0.8621, 5], [use month output cant confirm output work charger quality amazon basic, 0.0, 1], [work advertise, 0.5719, 5], [work didnt short causing phone become stop charging time annoy stop use worry damage phone, 0.5423, 5], [need return doesnt charge iphone brand iphone discount boo dont care work charge thing hence star, -0.2247, 3], [charge fit socket light reminds plug amazonbasics lost happy, 0.6369, 5], [adapter using month issue notice work samsung charge plug try havent need, 0.7351, 5], [dono dosnt charge fast car cool thing dosnt make heat usb place phone opo, 0.2732, 2], [value use car kindle son watch show travel last time work, -0.8328, 2], [compact solid handle, 0.8908, 5], [perfect solution electronics fit perfect, 0.5994, 5], [fail amazon gave credit gotta love tho amazonians, 0.1531, 2], [job, 0.5574, 1], [charger purchase maintain present charge phone charger charge phone drive, 0.0, 5], [work describe, 0.4767, 5], [handy car, 0.6124, 5], [fit area plug car, 0.0, 5], [plan use product listen radio forget product fcc approve cause interference radio station sham amazon sell po, 0.6249, 4], [quality cable sturdy wish bit longer excellent price, 0.0, 4], [nice iwll buy, 0.0, 5], [didnt charge samsung, 0.8779, 1], [work great put get stuck charger powergen charger, 0.4215, 4], [amazon need job amazonbasics make price, 0.4215, 4], [work advertise recharge phone device usb connector, -0.3875, 2], [charger work give star unplug plug phone power, 0.4497, 4], [perfect charge device trip, 0.4588, 3], [work, 0.1513, 5], [glad someone come decent aftermarket product go amazonbasics well belkin brand sell price point, 0.5499, 4], [item describe price find shipping quicker expect, 0.0, 5], [connection consistent time ok reconnect plug wake, 0.8674, 5], [work wall plug lot trouble use gps drive drain battery car charger couldnt replenish fast use battery trick give add boost, 0.0, 5], [work, 0.891, 5], [plug device tends charge device plug, 0.0, 5], [product, 0.0, 5], [need, 0.9042, 5], [price amaze husband wont fight who phone dead , -0.128, 5], [work chargingrunning everything threw better others ive spent, 0.6249, 5], [held great car, 0.1004, 5], [buy move country work week use day use time doesnt charge device test cigarette lighter charger work charger returning point disappoint quality gas station charger somehow outlast, 0.0, 2], [product simple convenient automobile traveler usb output avoids conflict, 0.0, 5], [amazon basic better dozen charger purchase year make charge bargain purchase car boat camper, 0.6887, 5], [think charger make fact port amp lot second port amp cause device charge, 0.0, 5], [buy lead let light work charge fine didnt feel messing return thought id let know, -0.1695, 2], [disapointing charge believe hype go job, 0.3612, 5], [power power power sum provide power phone nexus oneplus power amp usb plug none b amp use plug crap nope charge device love plug, 0.0, 4], [quality, 0.6318, 5], [perfect fit, 0.7351, 5], [work downside get stick car difficult remove pull dash, -0.3678, 1], [work, 0.7346, 5], [purchase husband week break unit pop hop fluke plan return, 0.5994, 5], [make time write review, 0.0, 4], [charge great stick outlet jeep cause hit shift way, 0.0, 5], [, 0.6213, 4], [, 0.4927, 5]]"
B00J0DV8U4,[0.0],[5],"[[bite, work, replace, cheaper, phone, reason, need, place, bent, pin, inside, usb]]","[[bite work replace cheaper phone reason need place bent pin inside usb, 0.0, 5]]"
B00J2V456S,[-0.395],[1],"[[item, get, say, arrive, look, describe, color, picture, look, fade, nothing, picture]]","[[item get say arrive look describe color picture look fade nothing picture, -0.395, 1]]"
B00J9W5T3S,[0.836],[5],"[[gift, friend, mine, say, like, delivery, come, day, half]]","[[gift friend mine say like delivery come day half, 0.836, 5]]"
B00JAPZRH2,[-0.128],[1],"[[time, connect, anything, try, connect, cut, power, reconnect, power, get, resetwork, super, frustrate, sending]]","[[time connect anything try connect cut power reconnect power get resetwork super frustrate sending, -0.128, 1]]"
B00JH88FO4,[0.6786],[4],"[[nice, fit]]","[[nice fit, 0.6786, 4]]"
B00JXOV4Y0,[-0.4767],[1],"[[false, advertisingbr, poor, product, product, sticker]]","[[false advertisingbr poor product product sticker, -0.4767, 1]]"
B00JZR0PV8,[0.8832],[5],"[[please, put, ft, tower, area, get, bar, day, get, bar, g]]","[[please put ft tower area get bar day get bar g, 0.8832, 5]]"
B00K0Q2YV2,"[-0.6533, 0.4588]","[1, 5]","[[talk, say, phone, purchase, talk, phone, want, shell, activation, card, transfer, straight, talk, phone, walmart, say, verizon, box, problem, isnt, phone, se, problem, straight, talkbr, br, nice, phone, arrive, quicker, expect], [im, straight, talk, phone, buy, pay, extra, phone, get, activate]]","[[talk say phone purchase talk phone want shell activation card transfer straight talk phone walmart say verizon box problem isnt phone se problem straight talkbr br nice phone arrive quicker expect, -0.6533, 1], [im straight talk phone buy pay extra phone get activate, 0.4588, 5]]"
B00K444UAS,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B00K59NBNY,[0.2732],[5],"[[work, tablet, saving, buy, zagg]]","[[work tablet saving buy zagg, 0.2732, 5]]"
B00K8855AE,"[0.7964, 0.5023, 0.7184, -0.1192, 0.6249, 0.5994, 0.6249, 0.6361]","[5, 4, 4, 3, 5, 5, 5, 4]","[[product], [undersized, fit], [fit, install], [screen, protector, seem, phone, work, put, phone, case, phone, make, screen, protector, come, bottom, top, phone, try, reposition, time, doesnt, fit, phone, case, phone], [work, enclose, tool], [love], [everything, instruct, right, corner, didnt, stick, otherwise, happy, product, bit, time, consume, install, screen, cover, insure, proper, position]]","[[product, 0.7964, 5], [undersized fit, 0.5023, 4], [fit install, 0.7184, 4], [screen protector seem phone work put phone case phone make screen protector come bottom top phone try reposition time doesnt fit phone case phone, -0.1192, 3], [work enclose tool, 0.6249, 5], [love, 0.5994, 5], [everything instruct right corner didnt stick otherwise happy product bit time consume install screen cover insure proper position, 0.6249, 5], [, 0.6361, 4]]"
B00KB9AWEE,"[0.7096, 0.0, 0.5719]","[5, 4, 5]","[[case, price, well, otterbox], [sturdy, case, fall, power, button], [excellent]]","[[case price well otterbox, 0.7096, 5], [sturdy case fall power button, 0.0, 4], [excellent, 0.5719, 5]]"
B00KD2IGOW,"[0.8786, 0.4215, 0.6369]","[5, 3, 4]","[[case, phone, clip, side, groove, phone, turn, time, put, holster, problem, case, hollow, space, power, button, nothing, press, everything, seems, phone, seem, secure, thing], [case, nice], [product, device, promise]]","[[case phone clip side groove phone turn time put holster problem case hollow space power button nothing press everything seems phone seem secure thing, 0.8786, 5], [case nice, 0.4215, 3], [product device promise, 0.6369, 4]]"
B00KG4DJL2,[0.9041],[4],"[[nice, case, cool, design, improve, grip, bulky, protect, phone, drop]]","[[nice case cool design improve grip bulky protect phone drop, 0.9041, 4]]"
B00KVZXF0G,[0.6115],[5],"[[get, week, happy, case]]","[[get week happy case, 0.6115, 5]]"
B00KZ4MIII,"[0.7351, -0.3919]","[5, 3]","[[install, need, dust, area], [impression, glass, screen, protector, think, paper, screen, protector, job, buy, intent, give, brother, owner, cellphone, responsibility, isnt, english, word, year, world, therefore, want, protection, thought, buy, job]]","[[install need dust area, 0.7351, 5], [impression glass screen protector think paper screen protector job buy intent give brother owner cellphone responsibility isnt english word year world therefore want protection thought buy job, -0.3919, 3]]"
B00L2MIOC6,"[0.8481, 0.6369, -0.0138, 0.7269, 0.6344, 0.4404, 0.5859]","[5, 5, 5, 4, 5, 5, 5]","[[amaze, scratch], [work, phone, price, compare, buying, store, get, phone, hold, clean], [position, look], [price, market, price], [product, great, price]]","[[amaze scratch, 0.8481, 5], [work phone price compare buying store get phone hold clean, 0.6369, 5], [position look, -0.0138, 5], [price market price, 0.7269, 4], [product great price, 0.6344, 5], [, 0.4404, 5], [, 0.5859, 5]]"
B00LIOXQH6,[-0.6818],[1],"[[product, box, come, condition, recommend]]","[[product box come condition recommend, -0.6818, 1]]"
B00LTMA1XE,[0.9061],[5],"[[wireless, speaker, purchase, flowershop, like, durability, know, sound, compact, fit]]","[[wireless speaker purchase flowershop like durability know sound compact fit, 0.9061, 5]]"
B00LVDWHC4,[0.7258],[5],"[[nice, highquality, wire, mold, connector, design, assume, wouldnt, appearance, pic, recommend]]","[[nice highquality wire mold connector design assume wouldnt appearance pic recommend, 0.7258, 5]]"
B00LVFT504,[0.1531],[5],"[[build, month]]","[[build month, 0.1531, 5]]"
B00LXNCDIU,[0.8136],[5],"[[partner, break, cell, go, thru, cell, phone, get, case, keep, cell, shatter, forgets, pocket, sits, im, right, case, sturdy, cell, intact, case, arrive]]","[[partner break cell go thru cell phone get case keep cell shatter forgets pocket sits im right case sturdy cell intact case arrive, 0.8136, 5]]"
B00M07YLBA,"[0.0, 0.9841]","[4, 5]","[[phone, case, use, carbon, look, twodirection, kickstand, useful, make, handle, hold, phone, reading, book, kindle, request, easy, way, replace, pocket, clip, time, slip, phone, pocket, clip, cover, solution, buy, clip, form, alternate, need, product, great, price], [slip, case]]","[[phone case use carbon look twodirection kickstand useful make handle hold phone reading book kindle request easy way replace pocket clip time slip phone pocket clip cover solution buy clip form alternate need product great price, 0.0, 4], [slip case, 0.9841, 5]]"
B00MOOFDMA,"[0.4404, 0.6369, 0.7713, 0.9564, 0.4404, 0.8555, 0.7814, 0.3182, 0.5994]","[4, 5, 2, 5, 5, 5, 4, 4, 5]","[[light, wight, case, side, pull, phone, come, screen, protector, extra, cost, use, side, arm, band, work, buy, case], [protects, phone, sweat, son], [case, keep, phone, place, cover, screen, plastic, window, inaccessibility], [love], [well, one, ive, try], [work, great, arm, protection, run, rain, work], [happy, waterproof, armband, cheap, plastic, put, screen, pita, use, issue, run, biking, skate, option, iphone, iphone, pick, option, happy, silicone, case, screen, wish, case, phone, fit, button, access, kind, make, harder, use, home, button, volume, button, need, grab], [case, supecase]]","[[light wight case side pull phone come screen protector extra cost use side arm band work buy case, 0.4404, 4], [protects phone sweat son, 0.6369, 5], [case keep phone place cover screen plastic window inaccessibility, 0.7713, 2], [love, 0.9564, 5], [well one ive try, 0.4404, 5], [work great arm protection run rain work, 0.8555, 5], [happy waterproof armband cheap plastic put screen pita use issue run biking skate option iphone iphone pick option happy silicone case screen wish case phone fit button access kind make harder use home button volume button need grab, 0.7814, 4], [case supecase, 0.3182, 4], [, 0.5994, 5]]"
B00MQ6A8M6,[-0.0516],[5],"[[perfect, give, u, privacy, screen, thickprotective, problem, texting, w]]","[[perfect give u privacy screen thickprotective problem texting w, -0.0516, 5]]"
B00MUQ9DLO,"[0.4588, -0.6956, 0.6249, 0.3071]","[5, 3, 5, 2]","[[feel, hand, blackblack, sleek, case, feel, otter, box, life, case, feel, wellmade], [case, past, work, got, replacement, iphone, begin, fall, apart, purchase, side, flake, doesnt, look, month, use], [cheap, bad, material], [product]]","[[feel hand blackblack sleek case feel otter box life case feel wellmade, 0.4588, 5], [case past work got replacement iphone begin fall apart purchase side flake doesnt look month use, -0.6956, 3], [cheap bad material, 0.6249, 5], [product, 0.3071, 2]]"
B00N0JXTLK,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
