B000230LJK,"[0.6249, 0.6249]","[5, 5]","[[sub, price, purchase, product], [product]]","[[sub price purchase product, 0.6249, 5], [product, 0.6249, 5]]"
B00JB0O07E,"[0.7574, 0.6946, 0.8867, 0.6249, 0.8516, 0.6335, 0.6249, 0.9001, 0.6901, 0.9668, 0.9661, 0.6369, 0.9246, -0.0328, 0.7003, 0.802, 0.8225, 0.2846, -0.9663, 0.765]","[5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 1, 5]","[[sturdy, hold, harder, store, pocket, purse, pant, rubber, sturdiness, override], [perfect, phone, case, super, fast, shipping], [give, gift, love], [work, great], [case, fit, phone, hold], [work, great], [want, thanks], [case, wish, buy, get, phone, year, value], [hold], [rugged, case, bit, difficult, fit, phone, time, protection, case, phone], [want], [lightweight, bulky, otter, box, case, color, picture], [quick, delivery, put, color, please, customer], [delivery, case, drop, phone, couple, time, case, corner, protect, phone, get, damage, process, happy, fit, otter, box, bulky, doesnt, seem, phone, want, thanks, product, buy, experience], [fit, seem, like, color, bonus], [tell, phone, sonslol, doesnt, seem, phone, lot], [sturdy, look, awesome, price, verrrrry, satisfy], [title, say, product, notice, problem, open, product, problem, case, look, see, part, problem, case, smell, im, think, see, beat, case, put, phone, odor, leave, attempt, put, phone, case, allow, slip, soft, cover, soft, cover, fit, slip, half, soft, case, half, attempt, shove, side, result, mess, power, button, volume, button, say, disappoint, product, recommend, anyone, waste, time, product], [case, protect, phone, drop, drop, cover, review, happens, love, everything], [case, love, price, love, bonus, accessory, sturdy, bulky]]","[[sturdy hold harder store pocket purse pant rubber sturdiness override, 0.7574, 5], [perfect phone case super fast shipping, 0.6946, 4], [give gift love, 0.8867, 4], [work great, 0.6249, 5], [case fit phone hold, 0.8516, 5], [work great, 0.6335, 4], [want thanks, 0.6249, 4], [case wish buy get phone year value, 0.9001, 5], [hold, 0.6901, 5], [rugged case bit difficult fit phone time protection case phone, 0.9668, 5], [want, 0.9661, 5], [lightweight bulky otter box case color picture, 0.6369, 5], [quick delivery put color please customer, 0.9246, 5], [delivery case drop phone couple time case corner protect phone get damage process happy fit otter box bulky doesnt seem phone want thanks product buy experience, -0.0328, 5], [fit seem like color bonus, 0.7003, 5], [tell phone sonslol doesnt seem phone lot, 0.802, 5], [sturdy look awesome price verrrrry satisfy, 0.8225, 5], [title say product notice problem open product problem case look see part problem case smell im think see beat case put phone odor leave attempt put phone case allow slip soft cover soft cover fit slip half soft case half attempt shove side result mess power button volume button say disappoint product recommend anyone waste time product, 0.2846, 4], [case protect phone drop drop cover review happens love everything, -0.9663, 1], [case love price love bonus accessory sturdy bulky, 0.765, 5]]"
B00JIUXO88,[0.6798],[4],"[[work, thing, dont, screw, itll, cross, thread, easy]]","[[work thing dont screw itll cross thread easy, 0.6798, 4]]"
B00JMRJX8C,[0.6249],[5],"[[protection, phone]]","[[protection phone, 0.6249, 5]]"
B00JPHFA2C,[-0.5023],[1],"[[recognize, micro, card, galaxy, sundisk, lexar, samsung, whats, point, useless, non, sense, piece]]","[[recognize micro card galaxy sundisk lexar samsung whats point useless non sense piece, -0.5023, 1]]"
B00JR3SB70,[0.0],[1],"[[nd, charger, buy, company, continue, overheat, use, product, get, hot, iphone, iphone, note, hot, touch]]","[[nd charger buy company continue overheat use product get hot iphone iphone note hot touch, 0.0, 1]]"
B00KC8MRP6,"[-0.2071, 0.7823]","[4, 3]","[[case, take, lot, fall, pastel, picture, color], [ok, cell, phone, case, protects, phone, well, design, use, phone, camera]]","[[case take lot fall pastel picture color, -0.2071, 4], [ok cell phone case protects phone well design use phone camera, 0.7823, 3]]"
B00KFNGZSI,[-0.5329],[2],"[[doesnt, right, havent, drop, think, itll, protect, use, gut, get, something, know, work]]","[[doesnt right havent drop think itll protect use gut get something know work, -0.5329, 2]]"
B00KFRAISM,"[0.3612, 0.4692]","[3, 4]","[[fit, protect, glass, screen, cushion, drop, notice, start, volume, button, seem, operate], [rubber, bottom, mark, something, hot]]","[[fit protect glass screen cushion drop notice start volume button seem operate, 0.3612, 3], [rubber bottom mark something hot, 0.4692, 4]]"
B00KID3OC0,[0.3892],[5],"[[receive, describe, work, place, bit, tv]]","[[receive describe work place bit tv, 0.3892, 5]]"
B00L4NO3I2,[0.0772],[5],"[[month, issue, others, buy]]","[[month issue others buy, 0.0772, 5]]"
B00L83F9V8,[0.5994],[4],[[super]],"[[super, 0.5994, 4]]"
B00LKQZ6T8,[0.6652],[5],"[[excellent, function, intend, cover, headphone, port, charge, port, attach, open, function]]","[[excellent function intend cover headphone port charge port attach open function, 0.6652, 5]]"
B00LVO4J6U,"[0.6249, 0.6369, 0.4215, 0.6249]","[5, 5, 5, 5]","[[product, fast, shipment, advertise, business, seller], [nice, gift]]","[[product fast shipment advertise business seller, 0.6249, 5], [nice gift, 0.6369, 5], [, 0.4215, 5], [, 0.6249, 5]]"
B00LXL6YMS,[0.0],[5],"[[work, advertise]]","[[work advertise, 0.0, 5]]"
B00M05VAQG,"[-0.2617, -0.1027, 0.7778, 0.4031, 0.4404, 0.3612, 0.4215, 0.0, 0.891, 0.5859, 0.4404, 0.7351, 0.7896, 0.9904, 0.8519, 0.802]","[2, 3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]","[[fit, perfect, satisfy], [perfect, fit, iphone], [match, rubber, place], [light, weight, look, button, side, stiff], [satisfy, purchase, buy, thing, wasnt, design, kickstand], [case, love, way, look, love, way, feel, hand, plasticy, rubbery, bulk, weight, compare, minimalist, style, case, find, bit, extra, bulk, add, provide, betterfirmer, grip, hand, elevate, comfort, level, device, protection, provide, level, protection, raise, bevel, screen, mine, use, glass, screen, protector, fit, finish, precision, cut, iphone, perfect, pop, kickstand, ice, cake, bonus, price, point, build, quality, performance, product, represent, outstanding, valuebr, br, provide, update], [value, great, product, period], [hold, approx, month, use, holster, clip, snap, case, broke], [work, list], [excellent, love, last, day, part, broke, wont, stay, holder, wouldnt, buy], [nice, case], [iphone, case, light, weight, feel, case, galaxy, note, man, lifesaver], [keep, phone, safe], [case, fit, phone], [happy, case, dont, use, plastic, case, clip, fit, iphone, great, outer, shell, clip]]","[[fit perfect satisfy, -0.2617, 2], [perfect fit iphone, -0.1027, 3], [match rubber place, 0.7778, 5], [light weight look button side stiff, 0.4031, 4], [satisfy purchase buy thing wasnt design kickstand, 0.4404, 5], [case love way look love way feel hand plasticy rubbery bulk weight compare minimalist style case find bit extra bulk add provide betterfirmer grip hand elevate comfort level device protection provide level protection raise bevel screen mine use glass screen protector fit finish precision cut iphone perfect pop kickstand ice cake bonus price point build quality performance product represent outstanding valuebr br provide update, 0.3612, 4], [value great product period, 0.4215, 5], [hold approx month use holster clip snap case broke, 0.0, 5], [work list, 0.891, 5], [excellent love last day part broke wont stay holder wouldnt buy, 0.5859, 5], [nice case, 0.4404, 5], [iphone case light weight feel case galaxy note man lifesaver, 0.7351, 5], [keep phone safe, 0.7896, 4], [case fit phone, 0.9904, 5], [happy case dont use plastic case clip fit iphone great outer shell clip, 0.8519, 5], [, 0.802, 5]]"
B00M4NEAZW,"[0.4595, 0.9035, 0.296, 0.6249]","[4, 2, 5, 5]","[[con, finger, magnet, cut, time, get, take, couple, time, line, screen, turn, allow, get, mean, put, iv, room, hospital, dust, get, get, screen, line, fit, screen, dozen, time, oh, keep, look, find, screen, protector, reason, note, none], [kind, difficulty, put, scratch], [ok], [product]]","[[con finger magnet cut time get take couple time line screen turn allow get mean put iv room hospital dust get get screen line fit screen dozen time oh keep look find screen protector reason note none, 0.4595, 4], [kind difficulty put scratch, 0.9035, 2], [ok, 0.296, 5], [product, 0.6249, 5]]"
B00M6NTZQY,[0.0],[4],"[[fit, lg, g, case, phone, make, work]]","[[fit lg g case phone make work, 0.0, 4]]"
B00MC1Y06K,[0.0],[1],"[[need, instruction, return]]","[[need instruction return, 0.0, 1]]"
B00MOL9JF0,[0.743],[4],"[[bulky, cute]]","[[bulky cute, 0.743, 4]]"
B00MVSUA6S,[-0.0258],[4],"[[hold, protects, grandson, kindle, fire]]","[[hold protects grandson kindle fire, -0.0258, 4]]"
B00MWP7LMQ,"[0.6249, 0.6369, -0.1477, 0.7717, 0.0, 0.6249, 0.8622, 0.6318]","[5, 5, 3, 5, 1, 5, 5, 4]","[[work, recommend], [product], [productfast, shipping], [feel, bit, use, work, great], [doesnt, connect, bluetooth, thats, annoy], [purchase, item, selfie, stick, worki, dont, use, doesnt, stay, chargedi, couldve, wait, buy, dollar, store], [buy, yr, daughter, box, store, withe, cord, broke, day, tooth, option, like, grippy, handle, love, picture, take, ranch, recommend, product, seller]]","[[work recommend, 0.6249, 5], [product, 0.6369, 5], [productfast shipping, -0.1477, 3], [feel bit use work great, 0.7717, 5], [doesnt connect bluetooth thats annoy, 0.0, 1], [purchase item selfie stick worki dont use doesnt stay chargedi couldve wait buy dollar store, 0.6249, 5], [buy yr daughter box store withe cord broke day tooth option like grippy handle love picture take ranch recommend product seller, 0.8622, 5], [, 0.6318, 4]]"
B00MX8Y3EQ,[0.0],[2],"[[screen, protector, crack, couple, day, use]]","[[screen protector crack couple day use, 0.0, 2]]"
B00N9S3S7M,[-0.4404],[1],"[[cable, junk, st, order, start, returnedbr, nd, order, cable, last, week, return, buy, something]]","[[cable junk st order start returnedbr nd order cable last week return buy something, -0.4404, 1]]"
B00NCC6DLS,[0.1531],[5],"[[lead, work]]","[[lead work, 0.1531, 5]]"
B00NG1H8GE,[-0.2064],[3],"[[pain, get, guess, work, say, guess, peel, week, edge, start, didnt, way, look, come, shield, dont, try]]","[[pain get guess work say guess peel week edge start didnt way look come shield dont try, -0.2064, 3]]"
B00NGYZTZS,"[0.8176, -0.4404, -0.631, 0.296, 0.6597, 0.2732, 0.0, 0.4215, -0.0938]","[5, 2, 3, 3, 5, 4, 5, 5, 2]","[[keep, work, thank], [ok], [nice, case, fit, iphone, newtrent, shell], [perfect, case, exterior, case, lover], [use, week, damage], [doctor, order], [iphone, otter, defender, case, fit, insert, garage, shelf, seem, make, recommend, use, otter, protector], [madenice, leather], [case, fine, decide, case, well, go, return, cost, ship, point, ill, keep]]","[[keep work thank, 0.8176, 5], [ok, -0.4404, 2], [nice case fit iphone newtrent shell, -0.631, 3], [perfect case exterior case lover, 0.296, 3], [use week damage, 0.6597, 5], [doctor order, 0.2732, 4], [iphone otter defender case fit insert garage shelf seem make recommend use otter protector, 0.0, 5], [madenice leather, 0.4215, 5], [case fine decide case well go return cost ship point ill keep, -0.0938, 2]]"
B00NKVXX0K,"[-0.1124, 0.0, 0.8885]","[1, 5, 5]","[[put, battery, fly, half, way, dorm, room, fit, gt, gt, us, bl, battery, zero, star, rating], [quality, product, houdini, stump, load, battery], [backup, power, look, service, always]]","[[put battery fly half way dorm room fit gt gt us bl battery zero star rating, -0.1124, 1], [quality product houdini stump load battery, 0.0, 5], [backup power look service always, 0.8885, 5]]"
B00NLLJOXO,[0.631],[1],"[[clip, broke, bring, doesnt, work, keep, try, find, perfect, case]]","[[clip broke bring doesnt work keep try find perfect case, 0.631, 1]]"
B00NNH9M92,[0.802],[4],"[[recharge, cord, come, didnt, connect, phone]]","[[recharge cord come didnt connect phone, 0.802, 4]]"
B00NVLVW02,[0.899],[4],"[[protector, phone, perfect, fit, wellmade, didnt, give, star, yr, dont, l, o, v, e, anything, technology, realize, tech, stuff, way, id, spend, time, learn, operate, say, yes, buy, product]]","[[protector phone perfect fit wellmade didnt give star yr dont l o v e anything technology realize tech stuff way id spend time learn operate say yes buy product, 0.899, 4]]"
B00O0W5B7G,[0.6249],[4],[[item]],"[[item, 0.6249, 4]]"
B00OB1NJFC,[0.949],[5],"[[battery, work, hold, charge, longer, battery, give, time, play, game, phone, back, battery, incase, run, power, use, battery, galaxy, iii, month, run, power, couple, day, time, forgot, charge, phone, night, playing, game, phone, class, drain, battery]]","[[battery work hold charge longer battery give time play game phone back battery incase run power use battery galaxy iii month run power couple day time forgot charge phone night playing game phone class drain battery, 0.949, 5]]"
B00OLHPGQQ,[-0.296],[1],"[[volume, button, inside, snap, there, way, silence, unsilence, phone, case]]","[[volume button inside snap there way silence unsilence phone case, -0.296, 1]]"
B00OMFPSYC,[-0.6373],[1],"[[fit, phone, disappoint, there, chip, miss, kick, stand, refund]]","[[fit phone disappoint there chip miss kick stand refund, -0.6373, 1]]"
B00OQ0J3YO,"[-0.128, 0.7506]","[5, 5]","[[product, sleek, work, charge, device], [wish, buy, charge, get, phone, charge]]","[[product sleek work charge device, -0.128, 5], [wish buy charge get phone charge, 0.7506, 5]]"
B00OWWMSE8,[0.9917],[4],"[[update, reviewi, editing, review, case, fit, samsung, galaxy, edition, access, pen, micro, sd, card, remove, cover, discover, cant, volume, turn, note, take, case, purchase, case, review, question, answer, note, apologize, someone, purchase, product, samsung, galaxy, note, base, review, supcase, work, note, happy, call, supplier, wating, get, review, realize, turn, note, removng, case, adjust, volume, ipurchased, case, samsung, galaxy, tab, case, supcase, unicorn, beetle, pro, samsung, galaxy, note, edition, name, note, match, name, note, edition, reading, review, say, tab, case, fit, samsung, note, edition, case, fit, note, armorsuit, shield, clear, sheet, protector, white, carbon, fiber, film, protector, note, protection, fit, supcase, unicorn, beetle, opening, speaker, locate, side, hole, top, use, note, tv, remote, port, plug, charger, bottom, cover, hinge, tab, port, head, phone, top, leave, raise, button, power, volume, button, locate, left, issue, access, pen, memory, card, get, remove, cover, didnt, give, product, star, nice, case, akick, stand, note, shipping, quick, order, cover, tuesday, morning, prime, membership, promise, thursday, arrive, home, work, wednesday, front, porch, husband, purchase, note, birthday, year, half, purchase, samsung, case, offer, protection, addition, remove, cover, take, picture, supcase, open, camera, quick, easy, use, note, camera, purchase, samsung, case, purchase, excite, purchase, time, find, case, fit, note, supcase, come, piece, weight, screen, protector, rubber, edge, issue, responsiveness, use, screen, mention, armorsuit, screen, protector, cover, come, galaxy, tab, case, supcase, unicorn, beetle, pro, samsung, galaxy, note, edition, put, put, case, note, put, note, screen, cover, edge]]","[[update reviewi editing review case fit samsung galaxy edition access pen micro sd card remove cover discover cant volume turn note take case purchase case review question answer note apologize someone purchase product samsung galaxy note base review supcase work note happy call supplier wating get review realize turn note removng case adjust volume ipurchased case samsung galaxy tab case supcase unicorn beetle pro samsung galaxy note edition name note match name note edition reading review say tab case fit samsung note edition case fit note armorsuit shield clear sheet protector white carbon fiber film protector note protection fit supcase unicorn beetle opening speaker locate side hole top use note tv remote port plug charger bottom cover hinge tab port head phone top leave raise button power volume button locate left issue access pen memory card get remove cover didnt give product star nice case akick stand note shipping quick order cover tuesday morning prime membership promise thursday arrive home work wednesday front porch husband purchase note birthday year half purchase samsung case offer protection addition remove cover take picture supcase open camera quick easy use note camera purchase samsung case purchase excite purchase time find case fit note supcase come piece weight screen protector rubber edge issue responsiveness use screen mention armorsuit screen protector cover come galaxy tab case supcase unicorn beetle pro samsung galaxy note edition put put case note put note screen cover edge, 0.9917, 4]]"
B00P16BFVQ,"[0.0, 0.7906]","[5, 5]","[[awesome, cover, easy, take], [awsome, quick, delivery]]","[[awesome cover easy take, 0.0, 5], [awsome quick delivery, 0.7906, 5]]"
B00P7SK5ZK,[0.4133],[4],"[[case, cute, feel, complaint]]","[[case cute feel complaint, 0.4133, 4]]"
B00P8A73RU,[0.4927],[5],[[price]],"[[price, 0.4927, 5]]"
B00PBRLXDK,[0.0],[1],"[[install, grid, linpv]]","[[install grid linpv, 0.0, 1]]"
B00PCKYOLO,[0.2936],[4],"[[quality, wallet, case, drop, phone, handful, time, purchase, case, case, hold, concern, drop, phone, come, case, hit, floor]]","[[quality wallet case drop phone handful time purchase case case hold concern drop phone come case hit floor, 0.2936, 4]]"
B00PHL9D96,"[-0.4215, 0.6249]","[1, 5]","[[belt, clip, broke, less, hour, belt]]","[[belt clip broke less hour belt, -0.4215, 1], [, 0.6249, 5]]"
B00PI7L0W2,[0.8519],[5],"[[look, great]]","[[look great, 0.8519, 5]]"
B00PQ9XV2E,[-0.0516],[1],"[[reviewer, seem, tolerance, productbr, difficult, align, focus, get, image, waste, money]]","[[reviewer seem tolerance productbr difficult align focus get image waste money, -0.0516, 1]]"
B00Q3VNPR0,[0.8519],[5],"[[case, fit, look, phone, arrive, way, give, arrival, date]]","[[case fit look phone arrive way give arrival date, 0.8519, 5]]"
B00Q6AJXNS,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00Q9QYYPQ,"[0.7845, 0.6369]","[4, 5]","[[way, look], [super, cute]]","[[way look, 0.7845, 4], [super cute, 0.6369, 5]]"
B00QDV8KA2,[0.8705],[5],"[[fit, closure, flap, get, wear]]","[[fit closure flap get wear, 0.8705, 5]]"
B00QEDOSVY,[-0.0171],[5],"[[nice, case, ruff, phone, cause, cover, front, cushion]]","[[nice case ruff phone cause cover front cushion, -0.0171, 5]]"
B00QM1S50S,[0.7906],[5],"[[verry, nice, love]]","[[verry nice love, 0.7906, 5]]"
B00QNQCA9E,"[0.6369, 0.0165]","[5, 2]","[[go, place, everything, need], [didnt, secure, phone]]","[[go place everything need, 0.6369, 5], [didnt secure phone, 0.0165, 2]]"
B00QPWU7FA,"[0.4767, -0.4767, 0.0]","[4, 1, 2]","[[nice, work, work, work], [work], [star, option, last, month, break, crack]]","[[nice work work work, 0.4767, 4], [work, -0.4767, 1], [star option last month break crack, 0.0, 2]]"
B00QU4N5LG,"[0.4588, 0.9118, -0.3818]","[5, 5, 1]","[[case, look, feel, thing, wish, coat, metal, bit, grip, recomend, case, others], [awesome, case, block, cell, time, threw, make, difference, reception, bar, lte], [case, ever, own]]","[[case look feel thing wish coat metal bit grip recomend case others, 0.4588, 5], [awesome case block cell time threw make difference reception bar lte, 0.9118, 5], [case ever own, -0.3818, 1]]"
B00QU4Q31A,"[0.8402, 0.9408, 0.0, 0.9623, 0.9989, 0.8479, 0.807, 0.6249, 0.9262, 0.6369]","[4, 5, 4, 5, 4, 5, 5, 5, 5, 5]","[[look, great, perfect, look, phone, case, people, amaze, take, cover, perfect, design, galaxy], [case, love, spigen, brand, product, top, quality, price, cant, beat], [looking, bulgy, style, protection, case, spigen, case, bet, love, protect, phone, couple, fall, design, feel, slide, pocket, look, refinedbr, br, recommend, style, comfort, protection], [case, galaxy, buy, course, drop, phone, week, bought, know, worth, hesitant, consider, case, look, pic, camera, lens, protrude, thickness, case, case, thick, lens, lay, phone, case, go, snug, feel, solid, look, star], [work, case], [fitting, case], [im, go, rate, case, categoriesbr, br, look, star, love, way, look, got, phone, second, inspection, realize, phone, look, well, case, need, as, logo, way, looksbr, br, installation, star, take, get, know, get, take, apart, didnt, work, find, wimpy, plastic, border, edge, case, get, kinda, go, force, dont, see, well, way, get, bubble, edge, screen, protector, spent, minute, try, get, perfect, rubber, corner, fold, get, easier, smoother, guess, good, tight, wish, button, jiggle, time, annoy, hellbr, br, protection, star, discover, silver, line, im, confident, drop, phone, itll, protect, protects, camera, bottom, bumper, keep, rest, camera, doesnt, know, awhile, bumper, start, rub, try, set, believe, drop, phone, silver, line, break, dont, want, test, dont, know, wish, silver, plastic, stronger, phone, itselfbr, br, overall, give, case, star, believe, well, look, well, case, find, perfect, better, give, button, didnt, happy, investment, recommend, case, doesnt, mean, arent, better, one, therebr, br, thing, love, phone, doesnt, set, use, give, phone, grip, hold, feel, handsbr, br, thing, dont, installation, rattle, button, thing, fix, problem, case, isnt, isnt, life, bullet, monster, case, charger, arent, make, phone, one, matter, fit, include, car, charger, get, got, phone, doesnt, hinder, rating, side, note, ive, try, aux, cord, find, trouble, im, sure, dont, fit, whole], [product, install], [fit, product], [ight]]","[[look great perfect look phone case people amaze take cover perfect design galaxy, 0.8402, 4], [case love spigen brand product top quality price cant beat, 0.9408, 5], [looking bulgy style protection case spigen case bet love protect phone couple fall design feel slide pocket look refinedbr br recommend style comfort protection, 0.0, 4], [case galaxy buy course drop phone week bought know worth hesitant consider case look pic camera lens protrude thickness case case thick lens lay phone case go snug feel solid look star, 0.9623, 5], [work case, 0.9989, 4], [fitting case, 0.8479, 5], [im go rate case categoriesbr br look star love way look got phone second inspection realize phone look well case need as logo way looksbr br installation star take get know get take apart didnt work find wimpy plastic border edge case get kinda go force dont see well way get bubble edge screen protector spent minute try get perfect rubber corner fold get easier smoother guess good tight wish button jiggle time annoy hellbr br protection star discover silver line im confident drop phone itll protect protects camera bottom bumper keep rest camera doesnt know awhile bumper start rub try set believe drop phone silver line break dont want test dont know wish silver plastic stronger phone itselfbr br overall give case star believe well look well case find perfect better give button didnt happy investment recommend case doesnt mean arent better one therebr br thing love phone doesnt set use give phone grip hold feel handsbr br thing dont installation rattle button thing fix problem case isnt isnt life bullet monster case charger arent make phone one matter fit include car charger get got phone doesnt hinder rating side note ive try aux cord find trouble im sure dont fit whole, 0.807, 5], [product install, 0.6249, 5], [fit product, 0.9262, 5], [ight, 0.6369, 5]]"
B00QUJ5AO6,[0.6249],[5],"[[provides, protection, iphone, great, price]]","[[provides protection iphone great price, 0.6249, 5]]"
B00QZS0H2W,"[0.2382, 0.3612, 0.8885, 0.8335]","[1, 1, 5, 4]","[[seem, month, start, co, ming, screen, crack, forewarn, short, time, design, expect, bought, d, daughter, phone, thing], [edge, edge, edge, edge, curve, iphone, glass], [screen, protector, give, edge, edge, cover, drop, phone, time, everything, far, everything, great], [screen, protector, look, feel, screen, glass, break, start, split, return, however, week, start, cracking, drop, agrivating, screen, use]]","[[seem month start co ming screen crack forewarn short time design expect bought d daughter phone thing, 0.2382, 1], [edge edge edge edge curve iphone glass, 0.3612, 1], [screen protector give edge edge cover drop phone time everything far everything great, 0.8885, 5], [screen protector look feel screen glass break start split return however week start cracking drop agrivating screen use, 0.8335, 4]]"
B00R6M3AHU,[-0.296],[2],"[[make, offer, protection, phone]]","[[make offer protection phone, -0.296, 2]]"
B00RECUIT0,"[0.6249, 0.3182, 0.836, 0.3716, 0.9571, 0.5325, 0.7346, 0.2263, 0.6249]","[5, 4, 5, 5, 5, 5, 5, 5, 5]","[[device, perfect, charge, need, go], [get, son, motorcycle, adapt, battery, wire, work], [excellent, charger, look, nice, size, largebr, br, light, plug, need, adjustedbr, br, charge, device, pair, lightning, charge, cordbr, br, upload, photo, get, look, smile, buy, confidence, hope, helpful], [work, great, iphone, folk, android, phone, note, etc, recommend], [work, great, look, sleek], [seem, work, advertise, try, charge, ipad, nookhd, accellerated, charge, phone, suppose, job, nice, shorter, suppose, cram, space, year], [excellent, charger, love, buy], [cool], [purchase, road, trip, work, charging, device, time, havent, try, foresee, issue]]","[[device perfect charge need go, 0.6249, 5], [get son motorcycle adapt battery wire work, 0.3182, 4], [excellent charger look nice size largebr br light plug need adjustedbr br charge device pair lightning charge cordbr br upload photo get look smile buy confidence hope helpful, 0.836, 5], [work great iphone folk android phone note etc recommend, 0.3716, 5], [work great look sleek, 0.9571, 5], [seem work advertise try charge ipad nookhd accellerated charge phone suppose job nice shorter suppose cram space year, 0.5325, 5], [excellent charger love buy, 0.7346, 5], [cool, 0.2263, 5], [purchase road trip work charging device time havent try foresee issue, 0.6249, 5]]"
B00RUTNTHU,[0.5994],[5],"[[grandson, love]]","[[grandson love, 0.5994, 5]]"
B00S21I2NG,"[-0.2755, 0.9558, 0.3612, 0.0, 0.9947, 0.6249]","[1, 5, 5, 1, 3, 4]","[[review, component, come, purchase, rubber, shell, case, belt, holster, ill, refer, springloaded, clamp, hook, belt, clip, stylusbr, br, overall, youre, look, case, fit, phone, alright, decent, job, protect, work, think, stick, case, case, get, star, product, image, amazon, accuratebr, br, here, breakdownbr, lookfeel, case, slick, matte, finish, feel, awesome, hold, see, picture, case, make, phone, look, something, batman, thats, belt, holster, style, phone, look, br, functionality, button, spot, rubber, shell, suppose, work, great, operate, phone, case, fit, phone, put, take, take, dont, get, case, fit, rubber, shell, want, pull, see, include, picture, imagine, take, pocket, case, catch, something, pull, right, kickstand, case, work, pop, lock, place, push, youre, hop, kickstand, hold, phone, look, kickstand, prop, phone, level, surface, tap, phone, knock, case, phone, fit, belt, holster, issue, fit, expose, say, mount, holster, something, operate, phone, hop, holster, modify, allow, functionality, holster, piece, prop, clip, assume, kickstandlike, functionality, screen, holster, idea, purpose, stylus, work, desiredbr, br, protection, get, frustrate, right, corner, case, look, front, phone, hole, case, see, include, picture, manufacturing, defect, top, leave, corner, rubber, cover, corner, case, wrap, part, corner, top, case, stop, cut, piece, wrap, side, phone, perplex, whoever, design, case, decide, corner, spot, phone, fall, leave, hole, rubber, shell, corner, phone, peek, get, smash, imagine, line, reason, lead, expose, corner, phone, admit, take, orientation, phone, end, fall, hand, issue, encompass, bother, think, back, case, case, rubber, cover, corner, phone, respect, case, protects, phone, rubber, shell, thick, wrap, front, edge, phone, case, look, take, beating, allowing, phone, damagedbr, br, honesty, real, problem, yes, corner, phone, expose, make, sense, people, buy, know, fact, whatever, marketing, guess, picture, present, amazon, show, case, corner, phone, protect, rubber, shell, case, simple, oversight, ranz, case, use, look, picture, show, regardless, picture, accurate, use, sell, product, dishonest], [thank], [dont, buy], [expect, fit, wasnt], [product, get, case, year, son, love, fit, samsung, grand, prime, phone, feel, hand, look]]","[[review component come purchase rubber shell case belt holster ill refer springloaded clamp hook belt clip stylusbr br overall youre look case fit phone alright decent job protect work think stick case case get star product image amazon accuratebr br here breakdownbr lookfeel case slick matte finish feel awesome hold see picture case make phone look something batman thats belt holster style phone look br functionality button spot rubber shell suppose work great operate phone case fit phone put take take dont get case fit rubber shell want pull see include picture imagine take pocket case catch something pull right kickstand case work pop lock place push youre hop kickstand hold phone look kickstand prop phone level surface tap phone knock case phone fit belt holster issue fit expose say mount holster something operate phone hop holster modify allow functionality holster piece prop clip assume kickstandlike functionality screen holster idea purpose stylus work desiredbr br protection get frustrate right corner case look front phone hole case see include picture manufacturing defect top leave corner rubber cover corner case wrap part corner top case stop cut piece wrap side phone perplex whoever design case decide corner spot phone fall leave hole rubber shell corner phone peek get smash imagine line reason lead expose corner phone admit take orientation phone end fall hand issue encompass bother think back case case rubber cover corner phone respect case protects phone rubber shell thick wrap front edge phone case look take beating allowing phone damagedbr br honesty real problem yes corner phone expose make sense people buy know fact whatever marketing guess picture present amazon show case corner phone protect rubber shell case simple oversight ranz case use look picture show regardless picture accurate use sell product dishonest, -0.2755, 1], [thank, 0.9558, 5], [dont buy, 0.3612, 5], [expect fit wasnt, 0.0, 1], [product get case year son love fit samsung grand prime phone feel hand look, 0.9947, 3], [, 0.6249, 4]]"
B00S2WXUQY,"[0.7717, 0.7845]","[5, 2]","[[thank], [buy, product, friend, receive, decide, get, compact, work, find, phone, purse, demagnetize, credit, card, need, replace]]","[[thank, 0.7717, 5], [buy product friend receive decide get compact work find phone purse demagnetize credit card need replace, 0.7845, 2]]"
B00S84LIM4,"[0.6369, 0.0, 0.9505]","[5, 5, 5]","[[diamond, come], [take, come, worth, wait, love, lil, heavy, look, lol, cute], [case]]","[[diamond come, 0.6369, 5], [take come worth wait love lil heavy look lol cute, 0.0, 5], [case, 0.9505, 5]]"
B00S9FQLLK,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00SC62ZOS,[0.5994],[5],[[love]],"[[love, 0.5994, 5]]"
B00SGW9QLS,"[0.4215, 0.9042, 0.7184, 0.5849, 0.4404]","[5, 5, 5, 5, 5]","[[design, clean, build, quality, fine, use, case, less], [itit, work, x, headphone, look, desk], [buy, beat, p, headphone, black, color, shine, hold, headphone], [simple, stand, son, keep, headphone, place], [cheap, nice, work]]","[[design clean build quality fine use case less, 0.4215, 5], [itit work x headphone look desk, 0.9042, 5], [buy beat p headphone black color shine hold headphone, 0.7184, 5], [simple stand son keep headphone place, 0.5849, 5], [cheap nice work, 0.4404, 5]]"
B00SMO7XZQ,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
